country,quarter,date,GaR,GaR_st,prob_neg,ES,mean,std,iqr_05_95,scale_st,skew,skew_st,nu_st,n_train
Brazil,2020Q1,01/03/2020,-0.04711217837931625,-0.05111752630584004,0.5880922173623888,-0.06906029823508691,-0.008806861020038814,0.03544536454720601,0.0757679840645685,0.024818063441121967,0.1569308694446656,-0.009022691607692023,2154938772942214.2,244
Brazil,2021Q1,01/03/2021,-0.009046848513561166,-0.009046848560227817,0.08783727074955733,-0.012935497844601542,0.021004614725726026,0.012603843119543188,0.05588139353831492,0.011050729747053439,0.17533780926427045,-0.34051481229475755,2.1906203044541606,264
Brazil,2022Q1,01/03/2022,-0.028452054012280216,-0.02845205417000294,0.2961296803969806,-0.041901381099296,0.01021173350852686,0.018685174894866968,0.07689798409383533,0.016540059986138073,-0.07453761000690827,-0.03285899790848945,2.957217151619077,284
Brazil,2023Q1,01/03/2023,0.002490799677930245,0.002795494869715049,0.04393012554680362,-0.007768060275172228,0.03952704428189157,0.014521111347525543,0.07235139304572945,0.013653164936146076,0.03249465009053995,-0.1852676139642159,2.1000000001419807,304
Brazil,2010Q2,01/06/2010,0.01382337062453734,0.01327683355203439,0.0,0.013438548765424907,0.05460008929683449,0.016885898405971617,0.06224340626920552,0.01564372664385393,-0.2463072127513855,-0.9005776830174885,2.100043483158442,49
Brazil,2011Q2,01/06/2011,0.028776160130991445,0.029268738512050568,0.0,0.026663504766804198,0.05052741389722511,0.011246664262635516,0.06363907650046108,0.015409080260018238,0.47772513559228785,0.8968239243306427,2.1,69
Brazil,2012Q2,01/06/2012,-0.00939884994147078,-0.009016414044665515,0.21972716713213844,-0.022038154344124938,0.010802307801319775,0.011993075194698858,0.06839070967868005,0.017991008137109684,0.22057704097040617,0.9748557184250086,2.1,89
Brazil,2013Q2,01/06/2013,-0.0004642581574288464,-0.0004881368304200647,0.060290040773202234,-0.0018809438262569267,0.030664003257957585,0.015338894016833032,0.0682324164650818,0.013192708112221398,-0.08541287296984393,0.30732179973882195,2.1,109
Brazil,2014Q2,01/06/2014,-0.023131807589114498,-0.022630362958926016,0.28325363764421274,-0.025813903521655298,0.006099923554390212,0.009133074356349207,0.05262955080012409,0.009960913522077274,0.1754029630913752,-0.2932562945595802,2.1000000000000343,129
Brazil,2015Q2,01/06/2015,-0.046231136101505234,-0.045610767909966064,0.8712845247312028,-0.0513635875737819,-0.012377298830262094,0.012595840747694294,0.07297738799192777,0.014327328758826249,-0.06816690485506643,0.4724404078440064,2.1,149
Brazil,2016Q2,01/06/2016,-0.04190533181070345,-0.041905332212572255,0.9168265968835299,-0.05279588069093695,-0.020980814756675018,0.012240629838642119,0.04714298218316991,0.013708438907823558,-0.2134328329899899,0.7733118030351727,4.085229402447659,169
Brazil,2017Q2,01/06/2017,-0.0045351620583106225,-0.005631411385167219,0.15179990133339274,-0.008036881859627105,0.010652027902852168,0.01046110159454482,0.03362162154587235,0.010254640561338655,-0.0748005710447117,-0.009022672979652091,104530067.91831563,189
Brazil,2018Q2,01/06/2018,-0.004979617535068577,-0.004979617295268184,0.09655025946405621,-0.01150216942183073,0.0162617186816529,0.012134828527708632,0.04296161239945839,0.011696026553766982,0.06276880204524556,-0.1603380265041392,8.298593592332908,209
Brazil,2019Q2,01/06/2019,-0.009379973808515562,-0.009379973906387694,0.1314775774212771,-0.01304865288045666,0.015131498441571958,0.010335812922820252,0.045170061263354586,0.00909376357396499,-0.04466248896501416,-0.3138449659638534,2.314899047451558,229
Brazil,2020Q2,01/06/2020,-0.14319877030499545,-0.14315265255793036,1.0,-0.21717452545428562,-0.09616161794749431,0.017124016503058826,0.07543750305025496,0.01831582296050876,0.07936538260552566,-0.878258586806015,2.1,249
Brazil,2021Q2,01/06/2021,0.06866564100590399,0.0690834662604126,0.0,0.06539907132110599,0.1025035408326467,0.009908700701735168,0.052220078140187906,0.01184570067844557,-0.4731556359597242,-0.8018779056738159,2.1000000000000094,269
