country,quarter,profit_margin
chile,2006Q4,18.970516840616863
chile,2007Q1,17.546133359273274
chile,2007Q2,17.900033315022785
chile,2007Q3,18.458616574605305
chile,2007Q4,19.641883850097656
chile,2008Q1,20.37126660346985
chile,2008Q2,19.227533598740894
chile,2008Q3,21.70080006122589
chile,2008Q4,16.638333360354107
chile,2009Q1,17.985366741816204
chile,2009Q2,22.26528326670329
chile,2009Q3,22.59950013955434
chile,2009Q4,25.421149969100952
chile,2010Q1,27.031133890151978
chile,2010Q2,27.246750116348267
chile,2010Q3,27.82920002937317
chile,2010Q4,15.748783628145853
chile,2011Q1,27.885600328445435
chile,2011Q2,29.640883604685467
china,2002Q1,2.130116621653239
china,2002Q2,1.1285666624704997
china,2002Q3,0.9569833278656006
china,2002Q4,-0.248716672261556
china,2003Q1,1.5630083084106445
china,2003Q2,1.0425999959309895
china,2003Q3,2.0235166549682617
china,2003Q4,0.6085666616757711
china,2004Q1,2.6883832613627114
china,2004Q2,1.604841709136963
china,2004Q3,2.333750009536743
china,2004Q4,0.6380166312058767
china,2005Q1,2.5255583922068277
china,2005Q2,8.341441611448923
china,2005Q3,2.8451916376749673
china,2005Q4,3.9682082732518515
china,2006Q1,2.567941665649414
china,2006Q2,9.471816857655844
china,2006Q3,3.4462250073750815
china,2006Q4,11.202816526095072
china,2007Q1,8.358000040054321
china,2007Q2,17.803566614786785
china,2007Q3,17.536349932352703
china,2007Q4,21.10873333613078
china,2008Q1,25.650908788045246
china,2008Q2,39.49228382110596
china,2008Q3,25.40279992421468
china,2008Q4,13.766441866755486
china,2009Q1,24.674441814422607
china,2009Q2,39.11871671676636
china,2009Q3,24.853233178456623
china,2009Q4,33.41871658960978
china,2010Q1,26.578608353932697
china,2010Q2,40.85268338521322
china,2010Q3,25.932408491770428
china,2010Q4,31.486191908518474
china,2011Q1,27.630849838256836
china,2011Q2,29.084041754404705
colombia,2003Q2,1.0952142987932478
colombia,2003Q4,0.9181000164576939
colombia,2004Q2,2.959585734776088
colombia,2004Q4,4.3028428213936945
colombia,2005Q1,17.568185772214616
colombia,2005Q2,20.47142846243722
colombia,2005Q3,23.399071182523453
colombia,2005Q4,20.038828202656337
colombia,2006Q1,18.020799909319198
colombia,2006Q2,12.069242749895368
colombia,2006Q3,15.814942632402692
colombia,2006Q4,-30.75409974370684
colombia,2007Q1,13.644899811063494
colombia,2007Q2,13.923199943133763
colombia,2007Q3,13.425257342202324
colombia,2007Q4,14.990728791270937
colombia,2008Q1,12.43895707811628
colombia,2008Q2,11.842171600886754
colombia,2008Q3,12.817471367972237
colombia,2008Q4,8.419914313725062
colombia,2009Q1,11.191428456987653
colombia,2009Q2,11.849028519221715
colombia,2009Q3,13.153685637882777
colombia,2009Q4,7.839814390454974
colombia,2010Q1,12.308971405029297
colombia,2010Q2,10.848628657204765
colombia,2010Q3,12.650900091443743
colombia,2010Q4,9.910085609980992
colombia,2011Q1,8.920557022094727
colombia,2011Q2,5.306914193289621
croatia,2004Q1,8.437568639405072
croatia,2004Q2,11.806106507778168
croatia,2004Q3,8.10556873679161
croatia,2004Q4,6.143556207418442
croatia,2005Q1,16.44427466392517
croatia,2005Q2,12.8128063082695
croatia,2005Q3,12.405818939208984
croatia,2005Q4,15.639906153082848
croatia,2006Q1,17.077375054359436
croatia,2006Q2,18.912312157452106
croatia,2006Q3,11.414819061756134
croatia,2006Q4,6.676543891429901
croatia,2007Q1,6.066812604665756
croatia,2007Q2,3.732837922871113
croatia,2007Q3,11.548643499612808
croatia,2007Q4,11.790868485346437
croatia,2008Q1,9.414324820041656
croatia,2008Q2,13.652737537398934
croatia,2008Q3,10.082493821159005
croatia,2008Q4,-35.54454988241196
croatia,2009Q1,12.07511256635189
croatia,2009Q2,-8.373712703585625
croatia,2009Q3,-6.3129250183701515
croatia,2009Q4,-16.429087568074465
croatia,2010Q1,-32.3328365534544
croatia,2010Q2,-2.9132059570401907
croatia,2010Q3,-3.3935747519135475
croatia,2010Q4,-19.556868448853493
croatia,2011Q1,-1.433149665594101
ecuador,2004Q1,4.456055535210504
ecuador,2004Q2,4.347233242458767
ecuador,2004Q3,4.180022345648871
ecuador,2004Q4,3.5681444803873696
ecuador,2005Q1,27.28206655714247
ecuador,2005Q2,24.437945259941948
ecuador,2005Q3,21.365555657280815
ecuador,2005Q4,30.637444681591457
ecuador,2006Q1,35.31896675957574
ecuador,2006Q2,24.285522672865127
ecuador,2006Q3,-8.157677756415474
ecuador,2006Q4,-5.527465396457249
ecuador,2007Q1,18.27958912319607
ecuador,2007Q2,25.701833936903213
ecuador,2007Q3,23.575844234890408
ecuador,2007Q4,22.902877383761936
ecuador,2008Q1,-23.35641098022461
ecuador,2008Q2,-317.8972460428874
ecuador,2008Q3,24.555711534288193
ecuador,2008Q4,17.810011227925617
ecuador,2009Q1,40.2910221947564
ecuador,2009Q2,39.14116647508409
ecuador,2009Q3,33.06665505303277
ecuador,2009Q4,41.472432454427086
ecuador,2010Q1,24.701644049750435
ecuador,2010Q2,20.76745563083225
ecuador,2010Q3,-5.914388656616211
ecuador,2010Q4,5.436888800726996
ecuador,2011Q1,-5.781322161356608
ecuador,2011Q2,-4.5350451999240455
egypt,2001Q1,1.4432999236243111
egypt,2001Q2,-1.3628108075686864
egypt,2001Q3,2.533910725797926
egypt,2001Q4,-78.37531977040427
egypt,2002Q1,-15.294686036450523
egypt,2002Q2,-0.6613642232758659
egypt,2002Q3,14.376057624816895
egypt,2002Q4,3.6464713641575406
egypt,2003Q1,7.815239191055298
egypt,2003Q2,4.451014246259417
egypt,2003Q3,9.108253581183297
egypt,2003Q4,6.400828497750418
egypt,2004Q1,18.041639396122523
egypt,2004Q2,40.04598242895944
egypt,2004Q3,15.838700073105949
egypt,2004Q4,9.859960743359157
egypt,2005Q1,19.353221212114608
egypt,2005Q2,7.347096581544195
egypt,2005Q3,10.914017694337028
egypt,2005Q4,2.7622465235846385
egypt,2006Q1,12.983957118221692
egypt,2006Q2,13.32149281672069
egypt,2006Q3,12.070007091122013
egypt,2006Q4,10.641592928341456
egypt,2007Q1,17.736678549221583
egypt,2007Q2,16.95033914702279
egypt,2007Q3,16.026857129165105
egypt,2007Q4,11.549185728388172
egypt,2008Q1,20.1092894588198
egypt,2008Q2,18.84240347040551
egypt,2008Q3,14.633442800891187
egypt,2008Q4,6.836464165576866
egypt,2009Q1,10.957799907241549
egypt,2009Q2,15.127232296126229
egypt,2009Q3,22.986542667661393
egypt,2009Q4,20.5748678073287
egypt,2010Q1,15.206796501364026
egypt,2010Q2,-24.829245918563434
egypt,2010Q3,15.631443113088608
egypt,2010Q4,6.555835936750684
egypt,2011Q1,26.33014682361058
egypt,2011Q2,22.57264654976981
hungary,1999Q2,1.2105833391348522
hungary,1999Q3,17.123558521270752
hungary,1999Q4,-4187.693108081818
hungary,2000Q1,18.352833449840546
hungary,2000Q2,6.799350082874298
hungary,2000Q3,12.826958179473877
hungary,2000Q4,3.017858366171519
hungary,2001Q1,5.619349916776021
hungary,2001Q2,2.207274834314982
hungary,2001Q3,0.010558784008026123
hungary,2001Q4,-18.935582995414734
hungary,2002Q1,11.689716815948486
hungary,2002Q2,7.637549817562103
hungary,2002Q3,13.251016855239868
hungary,2002Q4,9.376341342926025
hungary,2003Q1,14.40155827999115
hungary,2003Q2,18.325441400210064
hungary,2003Q3,16.23109992345174
hungary,2003Q4,19.280199766159058
hungary,2004Q1,18.10120016336441
hungary,2004Q2,25.046749989191692
hungary,2004Q3,20.445533593495686
hungary,2004Q4,23.569816938290995
hungary,2005Q1,19.672191634774208
hungary,2005Q2,7.53451673189799
hungary,2005Q3,8.002925475438436
hungary,2005Q4,17.05437497297923
hungary,2006Q1,14.492416620254517
hungary,2006Q2,18.941375017166138
hungary,2006Q3,16.858858585357666
hungary,2006Q4,52.27623392889897
hungary,2007Q1,13.602050145467123
hungary,2007Q2,23.554216702779133
hungary,2007Q3,27.268941442171734
hungary,2007Q4,25.241841554641724
hungary,2008Q1,31.175082842508953
hungary,2008Q2,21.930991331736248
hungary,2008Q3,24.951216618220013
hungary,2008Q4,21.01181662082672
hungary,2009Q1,21.127316589156788
hungary,2009Q2,20.192766189575195
hungary,2009Q3,28.63170011838277
hungary,2009Q4,23.845999995867412
hungary,2010Q1,27.8593586285909
hungary,2010Q2,31.154083093007404
hungary,2010Q3,30.759633541107178
hungary,2010Q4,30.49059184392293
hungary,2011Q1,31.565141598383587
hungary,2011Q2,24.9534170627594
