country,quarter,EMBI_bps,JLoss,GaR,GaR_st,prob_neg,ES,skew,std,VIX,g_GDP,debt_gdp,fisc_bal,res_gdp,ca_gdp,infl_yoy,reer,JLoss_x_GaR,profit_margin,UST10Y_log,US_HY_spread_log,OnOffRun_spread_log,X_control_idx,X_control_idx_ncomp,debt_gdp_log,X_dom_idx,X_global_idx
mexico,2018Q1,237.87118032786884,2.305873094516697,-0.0164150870354999,-0.0164150868936924,0.1554920649498487,-0.0209779779966652,-0.0294294522521452,0.0126269987607695,0.0356622354906092,-0.255145127651125,41.3273940627237,-1.796207972913797,14.207544475829556,-1.9974712853688072,5.184876925221597,105.30666666666669,-0.037851107539309,,1.3240264841612597,,-0.0197310945034736,0.4475911362283113,3,3.72152557458136,-0.29950274426411316,0.8211380764745237
mexico,2018Q2,268.86378125,2.2760960862220925,0.004650371578163,0.0046429374161988,0.0353940035847343,-0.0033093242993853,0.2278561509186664,0.012750798079844,-0.468307995459704,0.160567706078254,41.3273940627237,-2.11318831516787,14.04045633355372,-2.06414074457574,4.89935015356551,102.02666666666666,0.0105846925485352,,1.3662510798688705,,-0.0031377239314521,0.5730677693605482,3,3.72152557458136,-0.29950274426411316,1.0093530261728787
mexico,2018Q3,272.2436031746032,3.068992098142189,0.0073474286744507,0.0073474278792481,0.0,0.0029620450800837,0.1472139561712831,0.0103211599926567,-0.983968257540309,0.146867800951055,41.3273940627237,-1.98818738706793,14.039542319699724,-1.6223166589429407,4.583502970491748,107.24,0.0225492005435525,,1.367062999192003,,0.0021469040303558,0.5945740341446079,3,3.72152557458136,-0.29950274426411316,1.0416124233489683
mexico,2018Q4,310.10081967213114,3.86188811006338,-0.0228445443264792,-0.0232630343513737,0.2360222950937637,-0.0263475929748704,0.0600086517210077,0.0159924649435506,0.743558565047107,-0.194739085188732,41.3273940627237,-1.86318645896799,14.038645371638772,-1.180492573310142,4.267655787417985,105.00333333333332,-0.0882230741142458,,1.396528696437895,,0.0028385970670328,0.640270430783138,3,3.72152557458136,-0.29950274426411316,1.1101570183067635
mexico,2019Q1,318.6188666666667,2.5152977612697214,-0.0048916271830751,-0.0050310811049503,0.113446078790991,-0.0067585964846482,0.117669880467047,0.011803227606011,-0.777444374238505,-0.235846226786261,41.3273940627237,-1.73818553086805,14.03776501583179,-0.738668487677343,3.9518086043442224,108.55,-0.0123038989025549,,1.2955352847255657,,0.0063437565346719,0.5062405163383101,3,3.72152557458136,-0.29950274426411316,0.9091121466395218
mexico,2019Q2,311.9408571428572,2.3229277114421056,-0.0190482582698899,-0.0197083231219591,0.6192527048516724,-0.0205704987671917,0.0235762296395956,0.0129782882278449,-0.599496122588523,-0.658211768625638,41.3273940627237,-1.61318460276811,14.036900796098736,-0.296844402044544,3.63596142127046,108.56666666666666,-0.0442477269898335,,1.2056380836449971,,-0.0126913063942683,0.3017459474288442,3,3.72152557458136,-0.29950274426411316,0.6023702932753229
mexico,2019Q3,331.28578125,2.269019174090286,-0.0196357889877064,-0.0190229409850737,0.4341187403995221,-0.0205620796895079,0.0083697762163316,0.0122679977890207,-0.448824610242553,-0.577844500532272,42.45488215079735,-2.119637873806295,14.865497319221188,0.376642499799637,3.57617960487786,107.57,-0.0445539817114967,,1.0288937074889963,,-0.0096227137732474,0.0747488500701796,3,3.748441915585911,-0.24144954945084934,0.23284804983069415
mexico,2019Q4,310.3764193548388,2.347118316058314,-0.0207666959817061,-0.0211761792407579,0.6714520647096507,-0.022616800504847,-0.0242540027373916,0.0121640971085873,-0.768352127803834,-0.734284156428317,43.582370238871,-2.62609114484448,15.75663273125068,1.050129401643818,3.51639778848526,109.57666666666668,-0.0487418925026769,,1.026735077137072,,-0.0192206318240188,0.0535340270738553,3,3.774652716263073,-0.1849180648160837,0.1727600730188249
mexico,2020Q1,392.0578412698413,6.254338455547212,-0.0635256679103966,-0.0655437796175314,0.856614159743341,-0.0761039865854937,0.2543983055419767,0.0340826175846021,4.39604384708907,-0.857898216958231,44.709858326944655,-3.132544415882665,16.71766495228745,1.723616303487999,3.45661597209266,107.27,-0.3973110277263149,,0.8607780219438964,,-0.0398110775762607,-0.2496694994980239,3,3.80019402153017,-0.12983054864124005,-0.30958897492641585
mexico,2020Q2,590.5706666666667,4.437624029811049,-0.2065820177688701,-0.2063757840422199,1.0,-0.2882592433938382,-0.0405981469751661,0.0176843314206822,1.39430363129996,-5.32232778247683,45.8373464150183,-3.63899768692085,17.757153264123534,2.39710320533218,3.39683415570006,92.68333333333334,-0.9167333261779912,,0.5233186880134572,,-0.043683229443741,-0.7395363865409141,3,3.82509918275138,-0.0761150686662247,-1.0712470454782583
mexico,2020Q3,486.0355,2.659483570277838,-0.0791918816022528,-0.0780865170796779,1.0,-0.1532490241617547,0.2274106060078893,0.0093928152275942,0.866953338089065,-2.45825488428738,45.59324876288883,-3.5602141616597422,17.201873789947264,1.7126502465550382,3.9699277359844274,96.78333333333332,-0.2106095080205791,,0.5011540040692596,,-0.0054853279870465,-0.6288700225492218,3,3.819759652113927,-0.08763137440239545,-0.8994893466226345
mexico,2020Q4,434.5199838709678,3.552268763146378,-0.0437498763494797,-0.0433402109836842,0.7985836670501539,-0.0696796923573024,0.5067332558063724,0.0116480180884889,0.396754308181813,-1.37194586201548,45.34915111075935,-3.4814306363986347,16.69112919518621,1.028197287777896,4.543021316268796,103.26666666666668,-0.1554113191477732,,0.6230015711931856,,-0.0071237021043871,-0.4610623911065053,3,3.814391457769839,-0.09920950205355422,-0.6419888356329808
mexico,2021Q1,362.10324590163935,2.6202877969824896,-0.0349342606418291,-0.0349342604962694,0.7419509836595636,-0.0426184031648144,0.3470690838719439,0.0124549678709943,-0.0383746283345658,-1.20120984208383,45.10505345862988,-3.402647111137528,16.21976832561329,0.3437443290007538,5.116114896553163,104.23666666666668,-0.0915378168563904,,0.8483979576343862,,-0.0569867795824865,-0.3274684788961525,3,3.808994290311976,-0.11085011894937041,-0.43577765886954417
mexico,2021Q2,340.7816031746032,2.256558168967289,0.1012579885568423,0.1080124829890802,0.0,0.0992955576393736,-0.6769341437703412,0.0094007009438879,-0.502079196502767,4.6010374245987,44.8609558065004,-3.32386358587642,15.783404950451413,-0.340708629776388,5.68920847683753,106.28333333333336,0.2284945412511387,,0.9519594711536096,,-0.0977799459173772,-0.336968415219204,3,3.803567835296212,-0.12255390328329234,-0.44417567118715945
mexico,2021Q3,356.353765625,2.1832030051282816,-0.0056736312140236,-0.0052101572622561,0.0803335339174383,-0.0324912120272128,-0.0191404860435244,0.0156517499576821,0.447411109746407,0.701971034254419,44.63807689404327,-3.5702347414202578,15.221921440283497,-0.5740982677977184,6.240975405549523,107.18666666666668,-0.0123866887164459,,0.8436528324799343,,-0.0561967440396722,-0.3388432096522105,3,3.7985872368145,-0.13329606373877848,-0.441616782608926
mexico,2021Q4,357.8963225806452,2.2666156405934013,-0.0098556398908637,-0.0098556402443457,0.1077072718963132,-0.0233513806026433,0.0619269065121988,0.0143353483783276,-0.321533160157165,-0.0594199460048409,44.41519798158615,-3.816605896964095,14.690769342197576,-0.807487905819049,6.792742334261515,104.89333333333332,-0.0223389475246879,,0.9295571808098492,,-0.0663690126697267,-0.2560868712000066,3,3.7935817077505374,-0.1440919945023447,-0.31208430954883765
mexico,2022Q1,364.9432419354839,2.5115453265048138,-0.0182780015382304,-0.0182780017004197,0.1490132898010237,-0.0344964530342421,-0.1047523000117269,0.0180325665376485,0.112296884011404,0.243044086869426,44.19231906912903,-4.062977052507933,14.18755553434497,-1.0408775438403794,7.344509262973507,106.72666666666667,-0.0459060293411903,,1.082187819931383,,-0.0728204638793443,-0.061582985437264,3,3.788550997266192,-0.15494223658195871,-0.014903359864916255
mexico,2022Q2,397.7960483870968,2.500595955689597,-0.037642938369146,-0.0376429383607382,0.2239721067425134,-0.0621267310975934,-0.2216927269445711,0.0226513273793266,1.17089414747663,0.279422609088221,43.9694401566719,-4.30934820805177,13.710132197123452,-1.27426718186171,7.8962761916855,111.35666666666668,-0.0941297794461592,,1.3692958630919083,,-0.0692584597477831,0.3678198794544737,3,3.7834948507184816,-0.16584733919189454,0.6346534887776578
peru,2010Q1,177.8226393442623,2.1641745160475807,0.0494746940337903,0.0497177915294258,0.0,0.0449594035846813,0.456375106568399,0.0119342734614115,-0.273474143288191,0.307933768358747,24.36155997361048,0.0922907833134669,29.44050138370483,-1.961656514174441,1.880298331988508,94.11666666666667,0.1070718720171802,,1.5513571833246549,,-0.3860989243431428,-1.0091007353716712,3,3.1930064791168835,-1.439413328928696,-0.7939444385931588
peru,2010Q2,184.0202857142857,2.205720351743905,0.0129889303795664,0.0173683433158475,0.0,0.0104124209837377,-0.3702273877636643,0.0175399989116008,1.92814838624991,0.829446353800134,23.6817913396941,0.504151294551156,29.97053336841126,-2.41611244249563,1.52832059732901,95.66,0.0286499480855943,23.836949348449707,1.5024093396755769,,-0.3188029985454527,-0.5466756945587676,4,3.164706454945791,-0.5803178010615274,-0.513033588056008
peru,2010Q3,169.738546875,2.160701295467239,0.0775554234311292,0.0778148243215944,0.0,0.0535309215802147,0.3558880985539063,0.0094204055473106,0.520149081223771,0.849211873176379,22.9413976478739,0.705394469223892,29.55305051094237,-2.3031398622141923,1.98856818633139,96.02666666666666,0.1675741038781511,,1.330922035098563,,-0.2596778730128791,-0.8881302770095845,3,3.132943036082171,-1.5689582310036083,-0.5477163000125727
peru,2010Q4,154.85009677419356,2.164917775939688,0.0545860952410512,0.0546188427080054,0.0,0.0537487045688711,0.5680332157086609,0.0161219569044877,-0.25269186572323,0.730443314051605,22.2010039560537,0.906637643896628,29.167254657862426,-2.190167281932755,2.44881577533377,92.74,0.1181744079064885,17.88020086288452,1.3554193705016715,,-0.2481657195954341,-0.5614084369007533,4,3.100137511101356,-0.6951703038218711,-0.4276465699796348
peru,2011Q1,149.93058064516129,2.202480826572861,0.048753744584452,0.0487187080813106,0.0,0.0400945793205019,0.2601801549867896,0.0170930603152353,-0.25399075807104,0.696016531538492,21.4606102642335,1.107880818569364,28.80967013930474,-2.077194701651317,2.90906336433615,92.48666666666668,0.1073791876708859,,1.4945699785755024,,-0.2589734143346897,-0.6943723013982,3,3.066219174087759,-1.7128683322465657,-0.1851242859740172
peru,2011Q2,190.7256984126984,3.4444674233837698,0.0497240624827434,0.0501279994019666,0.0,0.04593823307431,0.5038498496014854,0.0116570748509681,-0.412455624503871,0.281408246933007,20.7202165724133,1.3091239932421,28.47731167256206,-1.96422212136988,3.36931095333853,90.41666666666669,0.1712729133801087,,1.4354246035105904,,-0.2498705778622153,-0.7709973698841225,3,3.031109869673206,-1.7885921198368475,-0.2621999949077599
peru,2011Q3,203.54365625000003,2.4774060758137137,0.0030046523243156,0.0060060955973628,0.0462712591270937,-0.0171405684534811,-0.3916586101615836,0.0171375209909769,3.021815743106,0.351561478095819,20.344327294001275,1.492782610386255,29.790124865215088,-2.1913223409582625,3.429786452354305,92.75333333333332,0.0074437439239672,,1.2279486967191036,,-0.1913572555557563,-0.8621976017976309,3,3.012802115977101,-1.8280783037774333,-0.37925725080772976
peru,2011Q4,220.19098360655727,2.222546622432453,0.0477707880524557,0.0478775575187668,0.0,0.0412440503194888,0.20910028556003,0.0128336850035768,0.481182310789469,0.377831629285644,19.96843801558925,1.67644122753041,31.02768687581081,-2.418422560546645,3.49026195137008,97.13666666666668,0.106172803636922,,1.1140660325699498,,-0.1254386989113021,-0.7884693108398652,3,2.994152927823295,-1.8683008939437218,-0.24855351928793687
peru,2012Q1,193.84256451612904,2.1606850447567063,0.0491775557253903,0.0500514729937346,0.0,0.0480568900496985,0.6045027062359632,0.0080212855312605,-0.544942643980499,0.39144850596761,19.592548737177225,1.860099844674565,32.19628759375715,-2.6455227801350274,3.550737450385854,97.21333333333332,0.1062572091935403,,1.1118575154181305,,-0.098174925320081,-0.7005229362035542,3,2.975149327484329,-1.9092878807130171,-0.0961404639488229
peru,2012Q2,177.7540634920635,2.1604501617389635,0.0532411696944898,0.0544735929562355,0.0,0.0448242896985891,0.4739665300362191,0.0076188536618113,-0.339717653026506,0.362904512343377,19.2166594587652,2.04375846181872,33.30153492047706,-2.87262299972341,3.61121294940163,100.17,0.115024893677632,,1.038784875038435,,-0.0569258922141058,-0.6625672420026639,3,2.9557775829609487,-1.951068881276891,-0.01831642236555045
peru,2012Q3,139.719,2.160105531651951,0.0620308748905318,0.0622350156194855,0.0,0.0530077089530011,0.4937300013716163,0.0085553090331734,-0.515068119980867,0.511673625505522,19.01109968995753,1.796505340689075,33.1438598778198,-3.367392646527625,3.400383877256228,102.69,0.1339932359842478,,0.9712598019955756,,-0.0448861362275025,-0.7226289970256675,3,2.9450230027997244,-1.9742643719689152,-0.09681130955404377
peru,2012Q4,115.82716666666668,1.5529178870819205,0.0531272816786596,0.0536476106679509,0.0,0.0491159581964926,0.5271627367041959,0.0092254785650679,-0.217621772332358,0.318489269653168,18.80553992114985,1.54925221955943,32.98959817891564,-3.86216229333184,3.189554805110825,102.59666666666668,0.08250230601083,,0.9958591783015855,,-0.031236935565726,-0.6420320068599833,3,2.934151503084172,-1.997712034888351,0.035808007154200516
peru,2013Q1,125.36631666666666,2.160190693475742,0.0309196330127141,0.0309196330893396,0.0,0.0303997684258581,0.1784590536656842,0.0112648243265529,-0.908632501367324,0.241180786572022,18.599980152342173,1.3019990984297851,32.8386401727082,-4.356931940136056,2.9787257329654224,102.43,0.0667923034797503,,1.0821440959608024,,-0.0611540265652253,-0.6389455684064954,3,2.9231605136402083,-2.021417413389577,0.05229035408504534
peru,2013Q2,147.40814062500002,2.1643951958941554,0.0099053839706903,0.0099053835539129,0.0,0.0063750422463982,-0.2291030396314657,0.0164543800569982,-0.368293284678328,0.41171171192737,18.3944203835345,1.05474597730014,32.69088085499067,-4.85170158694027,2.76789666082002,100.72666666666667,0.021439165479649,,1.0940184196578822,,-0.0662466310531004,-0.6491739313439938,3,2.912047378603088,-2.045386235644689,0.04893222080635405
