country,quarter,EMBI_bps,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,n_train
brazil,2024Q4,212.10704838709677,0.0002224852842964,0.0492841278855477,-0.0075472434076319,0.076901670126991,0.0394727224006563,0.0123128449536583,0.0656942982938857,-0.1080356251771293,1.797047085143079,1116
brazil,2025Q1,224.94818032786884,-0.0026252175797933,0.0604850285156267,-0.0196976521941784,0.0837358146577919,0.0347973315096747,0.0126765964444432,0.0684163356140521,0.0264582580062818,1.837241810392085,1131
brazil,2025Q2,222.63985483870968,0.0024692661493681,0.0438946685441176,-0.0076418398864435,0.0710966591341548,0.0272761918075089,0.0105978105412247,0.0520943876504484,0.1265300091975028,1.6674755738513238,1146
brazil,2025Q3,194.8891875,-0.0003758628400882,0.0527601327068338,-0.0100356243844989,0.0644978647991837,0.0216060402340295,0.0106916586317394,0.0498359147435385,0.1449132061354282,1.5874358116787275,1161
brazil,2025Q4,195.95111320754717,0.0019605222103013,0.0419576244999814,-0.0041338283031035,0.0624064396513942,0.022670085705077,0.0100772424285304,0.0466934146017171,0.1470067291874352,1.5796879023583654,1176
chile,2007Q4,140.99479069767443,0.0266512459664423,0.0,0.0241359559940532,0.0746872398513279,0.0465522484857862,0.008860401098766,0.0406222290212048,0.0726338309613667,1.4639081504160725,165
chile,2008Q1,167.6287868852459,0.0324446743889544,0.0,0.0284353732990142,0.0704837444093972,0.0499468466391361,0.0086969902092909,0.0364645896101121,0.2181276378003825,1.0804923195876903,175
chile,2008Q2,165.683140625,0.0279248105427236,0.0,0.0257928106894417,0.0654128338090909,0.0465232244854071,0.0080563731070446,0.0355629589691004,0.0496040993472617,1.297312038099744,185
chile,2008Q3,180.735375,0.0152550536209738,0.0,0.0143062749012182,0.0633165617410237,0.0352450189411092,0.0089195019878664,0.047061642637093,0.2640651772919499,1.4744477847112485,195
chile,2008Q4,336.0137419354839,-0.0147769605272953,0.1888799747607865,-0.0258437123684835,0.0530353184784337,0.0168471638370398,0.0110702814692526,0.060233228408056,0.4351377427225917,2.3579996191207457,206
chile,2009Q1,355.95737704918037,-0.0485008676613297,0.6404620733000288,-0.0536178724376704,0.0288330632499641,-0.0091213936210786,0.0227901235049978,0.0686310243763936,-0.2982869012388777,1.5957530566261393,217
chile,2009Q2,240.1176507936508,-0.0311169274222469,0.3459903356534873,-0.0384714219729653,0.0372499808509526,0.0027889333105181,0.0156207514696856,0.0607265955094125,-0.2564487228237338,1.7920068042956034,228
chile,2009Q3,146.82040625,-0.0139581844964943,0.2378588248002269,-0.0228695150688578,0.0392889148853155,0.011805549041079,0.014471748274893,0.0511387293437677,-0.1533031090813637,1.4292433840541496,239
chile,2009Q4,126.16638709677422,-0.0021987879427769,0.0625949119275099,-0.0079192121575832,0.0522880444373295,0.0243824681939083,0.0136757449735142,0.049304124540675,-0.1811965276041015,1.4285181953150965,251
chile,2010Q1,123.0119344262295,0.010179137189629,0.0,0.0032724035135044,0.0638902507465084,0.0323281723461982,0.0130895164171332,0.0446475862087591,-0.217552943098909,1.430701414738246,263
chile,2010Q2,135.42325396825396,0.0163505589525328,0.0,0.007671749882675,0.0720788189627463,0.0397516420546566,0.0219233174323965,0.0547066631406032,-0.0793876910382914,1.063602488801756,276
chile,2010Q3,134.660828125,0.0323667619529441,0.0,0.0285415279726777,0.0814693266687347,0.0549281371697468,0.0136050888584813,0.0441454445542255,-0.1190760125300856,1.3935317609204383,289
chile,2010Q4,123.74306451612902,0.0380844331215329,0.0,0.0352217534510218,0.0822724353514682,0.0596456523605365,0.011010314309257,0.0414378894509496,-0.0939699002914383,1.5020151822786685,302
chile,2011Q1,114.88329032258065,0.04956299309793,0.0,0.046332123773524,0.0940870612267394,0.0694108336707613,0.0105349599554416,0.0389343635226449,-0.0093979572130494,1.477720376103261,315
chile,2011Q2,128.04826984126984,0.0401139239013516,0.0,0.0378380248851183,0.0841114855597409,0.0587310109564185,0.010664275696021,0.0387247856908796,-0.07532901007815,1.3667603952697265,328
chile,2011Q3,149.890125,-0.0111892402330401,0.1167289663152237,-0.0128351695424704,0.0588653530599611,0.0265958753997666,0.0206376887734699,0.0689450887841993,0.1492405908721272,1.3287876542253667,341
chile,2011Q4,162.26839344262297,0.0270758917861035,0.0,0.0242149353291164,0.076668009558947,0.0501783576572074,0.0124642182945615,0.0444923633636321,0.0237271543322237,1.4181781505788806,354
chile,2012Q1,157.2620483870968,0.0346229434600109,0.0,0.0303022521553896,0.0815285906278448,0.0552835495979265,0.0118732622040828,0.0419914040406581,0.0192627833190547,1.3210351856278728,369
chile,2012Q2,167.87257142857143,0.039409959456036,0.0,0.0349905487396645,0.0850499912922895,0.0591059927343196,0.0118059527801395,0.0406704264173767,-0.0230337525095451,1.301779596416076,383
chile,2012Q3,149.23387301587303,0.0447256866695611,0.0,0.0412755623389077,0.0891296283585671,0.0627361506461593,0.0115464780446222,0.0386565823479305,0.0216713062887761,1.2270949404739433,397
chile,2012Q4,128.6046393442623,0.0352485723659916,0.0,0.0302057107849401,0.0797633443171359,0.054602363330093,0.0131935361595231,0.0414114534085478,0.0670831273080325,1.1564081786614706,411
