country,quarter,EMBI_bps,JLoss,GaR,GaR_st,prob_neg,ES,skew,std,VIX,g_GDP,debt_gdp,fisc_bal,res_gdp,ca_gdp,infl_yoy,reer,JLoss_x_GaR,UST10Y_log,US_HY_spread_log,OnOffRun_spread_log,debt_gdp_log,profit_margin,X_dom_idx,X_global_idx
chile,2009Q4,126.16638709677422,2.1702746578183523,-0.0063464188037015,-0.0063464186054568,0.0798471726183966,-0.0086115287874887,-0.0963966409774408,0.0127257131740028,0.257772826966134,-0.77131037337958,5.8449264307269,-2.333406925004671,13.661407626013377,1.1683152570545017,0.8818781289520681,114.97333333333331,-0.013773471897575228,1.4960524513218334,,-0.4762528226232063,1.765574008142834,25.421149969100952,-1.2100872027611724,-0.12211619097841997
chile,2010Q1,123.0119344262295,2.3169176725892995,0.0033413259897127,0.0033413254903678,0.0,0.0015140770318943,-0.1439444956450355,0.0125256245089857,-0.273474143288191,-0.61598680483831,6.5041237335468,-1.3791681563014313,13.217919984033806,1.0325984688992873,1.146294604247634,115.65333333333336,0.007741577235447286,1.5513571833246549,,-0.3860989243431428,1.872436396287614,27.031133890151978,-1.1111941853356633,0.1949266189149057
chile,2010Q2,135.42325396825396,2.169136984661016,0.0107086966146874,0.0101339921131303,0.0263954425490298,-0.0006330714283386,-0.226284234572042,0.0210191091855102,1.92814838624991,0.449268996535445,7.1028413958721,-0.424929387598192,12.820684452218837,0.896881680744073,1.4107110795432,115.43333333333334,0.023228629884432656,1.5024093396755769,,-0.3188029985454527,1.9604949005916723,27.246750116348267,-1.0416129891771433,0.25219099582391186
chile,2010Q3,134.660828125,2.285920980976908,0.0311497739007197,0.0314964648309874,0.0,0.0247860719678933,-0.1685131673074912,0.014002911284651,0.520149081223771,0.707841761524059,8.2253377024064,0.0038641577131734,13.897087083024424,-0.5566234935991553,1.8933375453056551,118.86666666666667,0.07120592171234207,1.330922035098563,,-0.2596778730128791,2.1072193538519084,27.82920002937317,-0.9232832340584195,0.04705636655380094
chile,2010Q4,123.74306451612902,2.1661098080724583,0.0407542301500406,0.0407542297974571,0.0,0.0369121119603839,-0.1598353007158941,0.0105872176086623,-0.25269186572323,0.696050246046203,8.6073277639456,0.432657703024539,14.894600503519356,-2.0101286679423835,2.3759640110681097,122.27333333333333,0.08827813764844523,1.3554193705016715,,-0.2481657195954341,2.1526139060327325,15.748783628145851,-1.0181029651958324,0.12220532569085285
chile,2011Q1,114.88329032258065,2.264334099701384,0.0515963806241382,0.051596380970151,0.0,0.0476969158968114,-0.0715475939314831,0.0105016922161174,-0.25399075807104,1.00900631847871,8.9635650811717,0.8614512483359044,15.8215907883367,-3.463633842285612,2.8585904768305648,120.22333333333334,0.1168314440684079,1.4945699785755024,,-0.2589734143346897,2.1931680363738186,27.885600328445435,-0.85702051469342,0.3740358977082938
chile,2011Q2,128.04826984126984,2.1854557577389193,0.0392228231437087,0.0389150906412025,0.0,0.0349070398101615,-0.0584821367491965,0.0117060063000871,-0.412455624503871,0.412248715760987,9.3711409067173,1.29024479364727,16.68528145574808,-4.91713901662884,3.34121694259302,120.82333333333334,0.08571974467419352,1.4354246035105904,,-0.2498705778622153,2.237634850494044,29.640883604685467,-0.804235321526032,0.27735390092098156
chile,2011Q3,149.890125,3.7306599261867963,-0.0087914782665671,-0.006660104310928,0.1085960317960163,-0.028971067516277,-0.0096483304445984,0.0207318814979242,3.021815743106,-0.00476646122212914,10.570878368977,1.1030353719711612,16.40084564641262,-5.019977059975953,3.2577748074773822,120.76666666666668,-0.03279801566102404,1.2279486967191036,,-0.1913572555557563,2.358102896616556,,-1.9546641541831722,-0.0007378385254411188
chile,2011Q4,162.26839344262297,3.234992530117794,0.027404301143813,0.0274043013989747,0.0,0.02151785695305,0.0417114725528989,0.0130491386606143,0.481182310789469,0.239326407076796,11.126889523248,0.9158259502950524,16.124992285235304,-5.122815103323065,3.1743326723617447,114.50333333333332,0.08865270949333358,1.1140660325699498,,-0.1254386989113021,2.4093646584166484,,-1.87634413208346,-0.07573936308124633
chile,2012Q1,157.2620483870968,2.1808613593512596,0.0375303089497658,0.0368593477744932,0.0,0.0334593512090359,-0.0221791038296861,0.0121761061453282,-0.544942643980499,0.356179379933214,11.072638542178,0.7286165286189438,15.857338700655133,-5.225653146670178,3.0908905372461075,119.68666666666668,0.08184840059305898,1.1118575154181305,,-0.098174925320081,2.404477069013118,,-1.8838116107002043,-0.01750430923850335
chile,2012Q2,167.87257142857143,2.193231241728929,0.0399920634444689,0.0396493978846752,0.0,0.0364308690633884,-0.0049798518512452,0.0121836396109445,-0.339717653026506,0.469299224844524,11.489174089079,0.541407106942835,15.5975246378633,-5.32849119001729,3.00744840213047,119.55666666666669,0.08771184296761463,1.038784875038435,,-0.0569258922141058,2.4414052084310724,,-1.8273911406704317,-0.06803509667040808
chile,2012Q3,149.23387301587303,2.355032474641536,0.0444332151799659,0.0434649445009657,0.0,0.0406058391859797,-0.0056162785967559,0.0119940008400623,-0.515068119980867,0.500662118095782,11.325812242237,0.2547107647383542,15.395988652020378,-5.19038474668036,2.7029751865593274,123.46666666666664,0.10464166470155495,0.9712598019955756,,-0.0448861362275025,2.4270843899660877,,-1.849271130340657,-0.17463120895096035
chile,2012Q4,128.6046393442623,2.187071766164481,0.036023417505552,0.0351028994951095,0.0,0.0294390547166497,0.0932185837735695,0.0132543067734163,-0.217621772332358,0.239009945492289,11.939073035052,-0.0319855774661265,15.198291571011996,-5.05227830334343,2.398501970988185,123.42,0.07878579934714809,0.9958591783015855,,-0.031236935565726,2.479816469695407,,-1.7687046904693566,-0.0943704910867384
chile,2013Q1,130.60428333333334,2.1827216675739423,0.0319935529879284,0.0295646029622388,0.0,0.0269682763185292,0.048250101494148,0.0137864130155844,-0.908632501367324,-0.0919447026845179,11.462691592329,-0.3186819196706072,15.004324743107428,-4.9141718600065,2.0940287554170425,123.99666666666668,0.06983302132942636,1.0821440959608024,,-0.0611540265652253,2.439097552149895,,-1.830916881585174,0.008458590287336282
chile,2013Q2,152.08934375,2.2160434851742847,0.0138191531817185,0.0135365469373975,0.0,0.0092554446149042,-0.0273787253329816,0.0161564171527865,-0.368293284678328,-0.258789867828899,12.046482047726,-0.605378261875088,14.81398357845179,-4.77606541666957,1.7895555398459,121.56666666666666,0.03062384437897277,1.0940184196578822,,-0.0662466310531004,2.488772671065257,,-1.7550210037488025,0.020368951538688757
chile,2013Q3,171.162546875,2.270644182677536,0.0154522085637436,0.0142425168922584,0.0,0.0080366233221653,0.0132693597672949,0.0144138433827754,-0.40206448572139,-0.379079176938397,12.605496269501,-0.8442434362660285,14.996815326670356,-4.447124042196325,2.5218354745211027,117.87,0.03508646748478441,1.310104897241458,,-0.1577362548366065,2.534132930709854,,-1.685717561708168,0.2398321585397877
