countryname,bankname,bankname_sbs,pd_source,date,year,month,tot_asset,total_liab,equity,st_borrow,lt_borrow,net_income,net_rev,prof_margin
peru,bcp,Banco de Crédito del Perú,market,2025-10-31,2025,10,193863387.625,167719942.739,26143444.885,156773775.66799998,10946167.071,570586.95199,1162128.6473800018,0.4909843271451727
peru,bcp,Banco de Crédito del Perú,market,2025-11-30,2025,11,198161962.977,171401515.806,26760447.171,160524673.741,10876842.065,534163.2005800009,1132493.5137099978,0.4716699867269935
peru,bcp,Banco de Crédito del Perú,market,2025-12-31,2025,12,202161921.029,174844779.813,27317141.216,163929407.69799998,10915372.115,485277.7020999994,1247407.603720002,0.3890289754951075
peru,bcp,Banco de Crédito del Perú,market,2026-01-31,2026,1,206218326.898,178199619.99,28018706.908,167383276.201,10816343.789,724623.79327,1272183.37857,0.5695906781021732
peru,bcp,Banco de Crédito del Perú,market,2026-02-28,2026,2,208054241.282,179533490.255,28520751.027,168674245.29,10859244.965,546624.1202799999,1099195.81276,0.4972945802144815
peru,bcp,Banco de Crédito del Perú,market,2026-03-31,2026,3,212266640.272,188869418.245,23397222.027,177666356.46,11203061.785,678241.5210800001,1306349.81275,0.5191882866750922
peru,bcp,Banco de Crédito del Perú,market,2026-04-30,2026,4,213960137.135,189829887.962,24130249.172,178523198.97000003,11306688.992,609105.1490499997,1274894.6759300004,0.4777689957844355
peru,interbank,Interbank,market,2010-01-31,2010,1,16177556.0,14740014.0,1437542.0,14241321.0,498693.0,38984.0,123275.0,0.3162360575948083
peru,interbank,Interbank,market,2010-02-28,2010,2,15665820.0,14202059.0,1463761.0,13701915.0,500144.0,34680.0,117221.0,0.2958514259390382
peru,interbank,Interbank,market,2010-03-31,2010,3,16267200.0,14942717.0,1324483.0,14442811.0,499906.0,41726.0,124707.0,0.334592284314433
peru,interbank,Interbank,market,2010-04-30,2010,4,17058668.0,15702493.0,1356175.0,14635711.0,1066782.0,35601.0,125234.0,0.28427583563569
peru,interbank,Interbank,market,2010-05-31,2010,5,16801671.0,15421562.0,1380109.0,14925544.0,496018.0,41600.0,129038.0,0.3223856538384042
peru,interbank,Interbank,market,2010-06-30,2010,6,17260824.0,15859610.0,1401214.0,15362941.0,496669.0,34427.0,120958.0,0.2846194546867507
