countryname,bankname,bankname_cnbv,pd_source,date,year,month,tot_asset,total_liab,equity,st_borrow,lt_borrow,net_income,net_rev,prof_margin
mexico,banco_bajio,Banco Del Bajío,market,2018-03-31,2018,3,195084.98597471,169777.490215,25307.49575971,169777.490215,0.0,413.74162456,875.27853383,0.4726970999158063
mexico,banco_bajio,Banco del Bajío,market,2018-04-30,2018,4,200049.26662507,175115.9967186,24933.26990647,175115.9967186,0.0,385.35249196,842.2916944099998,0.4575047985364831
mexico,banco_bajio,Banco del Bajío,market,2018-05-31,2018,5,197456.8659938,172083.64933802,25373.21665578,172083.64933802,0.0,411.3385926400001,917.49055461,0.448330056994264
mexico,banco_bajio,Banco Del Bajío,market,2018-06-30,2018,6,205622.27149984,179839.38898586,25782.88251398,179839.38898586,0.0,426.6461137499998,911.4885316400004,0.4680762279941741
mexico,banco_bajio,Banco del Bajío,market,2018-07-31,2018,7,208603.2780054,182382.80648662,26220.47151878,182382.80648662,0.0,428.39140107,957.9782462699995,0.4471828068518174
mexico,banco_bajio,Banco del Bajío,market,2018-08-31,2018,8,211887.20108993,185214.66114652,26672.53994341,185214.66114652,0.0,443.7686535600001,961.0035095000004,0.4617763090073293
mexico,banco_bajio,Banco Del Bajío,market,2018-09-30,2018,9,214005.06362354,186875.95891275,27129.10471079,186875.95891275,0.0,456.5308571000001,954.3942116999996,0.4783462132348976
mexico,banco_bajio,Banco del Bajío,market,2018-10-31,2018,10,211542.14809089,183905.84196543,27636.30612546,183905.84196543,0.0,443.57605250000006,969.8137188299996,0.4573827363827539
mexico,banco_bajio,Banco del Bajío,market,2018-11-30,2018,11,214426.6530964,186309.8217662,28116.8313302,186309.8217662,0.0,461.2231650100002,950.9765332799998,0.4849995229842338
mexico,banco_bajio,Banco Del Bajío,market,2018-12-31,2018,12,214956.83913973,186376.33353095,28580.50560878,186376.33353095,0.0,476.8780803599993,1026.276772520001,0.4646681023375743
mexico,banco_bajio,Banco del Bajío,market,2019-01-31,2019,1,216998.24263317,187975.59771813,29022.64491504,187975.59771813,0.0,479.97364363,1027.40674858,0.4671700320183621
mexico,banco_bajio,Banco del Bajío,market,2019-02-28,2019,2,214954.43924136,185539.08403973,29415.35520163,185539.08403973,0.0,420.62411926,915.58616579,0.4594041882416066
mexico,banco_bajio,Banco Del Bajío,market,2019-03-31,2019,3,222482.63066917,192614.09171442,29868.53895475,192614.09171442,0.0,509.5606516600001,1015.57032183,0.5017482696243041
mexico,banco_bajio,Banco del Bajío,market,2019-04-30,2019,4,221058.13140882,192756.80869391,28301.32271491,192756.80869391,0.0,464.28247997999983,981.32783656,0.4731165902798813
mexico,banco_bajio,Banco del Bajío,market,2019-05-31,2019,5,226622.92541381,197851.52643724,28771.39897657,197851.52643724,0.0,480.9994013000003,1001.7075793999998,0.4801794567513486
mexico,banco_bajio,Banco Del Bajío,market,2019-06-30,2019,6,233672.02886919,204505.34494001,29166.68392918,204505.34494001,0.0,467.0373143399997,957.54869486,0.4877426253588948
mexico,banco_bajio,Banco del Bajío,market,2019-07-31,2019,7,232548.46826371,202964.77530773,29583.69295598,202964.77530773,0.0,455.4142957300001,1015.2877413200004,0.4485568742688696
mexico,banco_bajio,Banco del Bajío,market,2019-08-31,2019,8,237508.18233475,207536.89812887,29971.28420588,207536.89812887,0.0,488.29192006999983,1008.0053469099994,0.4844140178093692
mexico,banco_bajio,Banco Del Bajío,market,2019-09-30,2019,9,233781.03937022,203391.50816318,30389.53120704,203391.50816318,0.0,444.5755677500001,984.5842516300008,0.4515363383214748
mexico,banco_bajio,Banco del Bajío,market,2019-10-31,2019,10,228502.31614974,197725.49862718,30776.81752256,197725.49862718,0.0,469.0788627600005,1017.84630295,0.4608543170029505
mexico,banco_bajio,Banco del Bajío,market,2019-11-30,2019,11,233037.10355826,201809.32675483,31227.77680343,198808.65383816,3000.67291667,463.64816378999967,992.7739674700006,0.4670228863590846
mexico,banco_bajio,Banco Del Bajío,market,2019-12-31,2019,12,230704.32311001,199020.05247869,31684.27063132,196017.43414536,3002.61833333,469.92657381000026,1026.8612747599982,0.4576339427347021
mexico,banco_bajio,Banco del Bajío,market,2020-01-31,2020,1,231394.50337696,199339.8835653,32054.61981166,196335.32685697,3004.55670833,452.64293112,1006.8301741,0.4495722742165679
mexico,banco_bajio,Banco del Bajío,market,2020-02-29,2020,2,235119.4102318,202658.6506072,32460.7596246,199653.58727387,3005.06333333,404.48427752,948.14652324,0.4266052425502748
mexico,banco_bajio,Banco Del Bajío,market,2020-03-31,2020,3,244816.15849016,212079.09504902,32737.06344114,209072.22234069,3006.87270833,380.75076608000006,1006.50674171,0.3782893350849546
mexico,banco_bajio,Banco del Bajío,market,2020-04-30,2020,4,260465.67384458,227655.89705391,32809.77679067,224648.40125391,3007.4958,216.87234013999975,1117.43222556,0.1940809788542785
mexico,banco_bajio,Banco del Bajío,market,2020-05-31,2020,5,253258.32608305,220241.84079533,33016.48528772,217233.19279533,3008.648,243.4950779400001,983.8458869799996,0.2474931096042179
mexico,banco_bajio,Banco Del Bajío,market,2020-06-30,2020,6,259413.06302862,226184.29744231,33228.76558631,223175.33494231,3008.9625,245.20556377999992,911.5565188199998,0.2689965555810142
mexico,banco_bajio,Banco del Bajío,market,2020-07-31,2020,7,256617.65417636,223169.94277547,33447.71140089,220160.25530047,3009.687475,248.99020154000027,899.9076080500008,0.276684183256917
mexico,banco_bajio,Banco del Bajío,market,2020-08-31,2020,8,259995.92112852,226194.31743773,33801.60369079,223183.38143773,3010.936,255.29570179999973,889.5919018499999,0.2869806944837126
mexico,banco_bajio,Banco Del Bajío,market,2020-09-30,2020,9,269690.17823814,235624.08209972,34066.09613842,232613.13609972,3010.946,253.96062841000003,841.7727920599991,0.301697359198916
mexico,banco_bajio,Banco del Bajío,market,2020-10-31,2020,10,268260.49019596,233788.34777745,34472.14241851,230787.94726078,3000.40051667,256.80895396000005,868.0315177000011,0.2958521075829822
mexico,banco_bajio,Banco del Bajío,market,2020-11-30,2020,11,261801.23584226,227124.22058053,34677.01526173,224123.02620553,3001.194375,244.7504775299999,844.4035882600001,0.2898501154339468
mexico,banco_bajio,Banco Del Bajío,market,2020-12-31,2020,12,275746.87465448,240878.54805032,34868.32660416,237877.35350032,3001.19455,233.11279053,896.9571840699991,0.2598928852682088
mexico,banco_bajio,Banco del Bajío,market,2021-01-31,2021,1,277403.0783816,242220.57329627,35182.50508533,239217.00802127,3003.565275,304.56888245,878.94574473,0.3465161351268153
mexico,banco_bajio,Banco del Bajío,market,2021-02-28,2021,2,277404.97049578,241773.8638054,35631.10669038,238770.4295554,3003.43425,310.00281794000006,805.89754727,0.3846677769279024
mexico,banco_bajio,Banco Del Bajío,market,2021-03-31,2021,3,276562.85943687,240451.08102234,36111.77841453,237446.50982234,3004.5712,330.07003082999995,879.68068094,0.3752157322328565
