date,country,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,GaR_st,mean_st,std_st,scale_st,alpha_st,nu_st,skew_st,sse_st,n_train,quarter
01/06/2014,BRAZIL,-0.008269520006221994,0.15006111254369794,-0.012353644988882199,0.03789032687718319,0.01106353887795608,0.012771810635619404,0.04353729992888694,-0.08145634896504182,1.1372572372735508,-0.008269519863747974,0.010964134530039218,0.013437352275017057,0.018330223548964762,2.1938652176134417,21.117397830499005,0.9099302759204877,4.6028352098606674e-20,550,2014Q2
01/06/2015,BRAZIL,-0.02814397472650259,0.7260079423354695,-0.04167467062098168,0.023818596429661536,-0.008058004905484263,0.014564603226596012,0.04784175551597732,0.1145577578615707,1.18316710048144,-0.030136102885685318,-0.00619986782107686,0.014557845602434269,0.014478366442011694,0.0014682909715751362,183.644105805004,0.0014682893888493167,1.5630477681729544e-05,610,2015Q2
01/06/2016,BRAZIL,-0.03414904290580821,0.8277271868972765,-0.03824262226775082,0.018321747870721175,-0.011769238138339097,0.012175516181466206,0.04488577015387394,-0.03010645016939528,1.249016449262053,-0.03414904314550752,-0.012161269383749769,0.014256922269101092,0.011596212016018051,0.2573555446182173,5.537469803781071,0.24923423568935524,1.2617352882646028e-19,671,2016Q2
01/06/2017,BRAZIL,-0.004544410909169974,0.10200507192156288,-0.0066211419095067595,0.03868814328454156,0.01357413275868737,0.010205188891879376,0.035535910730297535,0.05729300268955556,1.2659540398448021,-0.004544410667567641,0.01328347807076577,0.010946995568817628,0.009874847091480453,-0.08261554532673454,10.548503020134696,-0.08233504130086539,1.2132909965340474e-19,738,2017Q2
01/06/2018,BRAZIL,-0.003130306458955765,0.07982298021184264,-0.006846192915667643,0.04423987890515251,0.01737404877602408,0.011223818861697434,0.040614113252776474,-0.0389734866174856,1.294206637589308,-0.003130305802966458,0.017226039055827883,0.012735947909912403,0.01060841914699225,-0.03670341445397372,6.520493093006545,-0.036678717073824876,5.483948989278595e-19,806,2018Q2
01/06/2019,BRAZIL,-0.0005262005332926332,0.055697085174791015,-0.005320603059232803,0.04140567033640455,0.015809209471165635,0.00997136211618446,0.035868158389760374,0.009321454065919006,1.3075659552506504,-0.0005262003842962609,0.01570720461407582,0.011302722688931227,0.011988053537518214,1.2875385320588726,7.129842005270715,0.7897738040345197,2.95217867243309e-19,874,2019Q2
01/06/2020,BRAZIL,-0.1355840971786949,1.0,-0.15590760578297172,-0.04035131429744415,-0.08608568166760726,0.020388804926497587,0.09196382982806509,0.3576221723187882,1.4696893395116348,-0.13553688731967187,-0.08622733241121737,0.08515334173863726,0.018837409541500573,-0.6656485754965671,2.1,-0.5541133267958458,4.68383221747197e-08,942,2020Q2
01/06/2021,BRAZIL,0.07086539075555358,0.0,0.04401060420702233,0.10470011230030747,0.09609706141089942,0.00327589474694262,0.03382655020981039,-0.04141983298446899,2.947425595914442,0.07287494138276793,0.09443288807594738,0.041062529226840276,0.009381519544112779,-147296.4533380911,2.1,-0.9999999999769544,3.633396621533248e-05,1010,2021Q2
01/06/2022,BRAZIL,-0.04051895601252601,0.14981632836050174,-0.05851909805612719,0.07137654972882393,0.022700394374750795,0.01769173039524829,0.1008303547545962,-0.2235536484062184,1.9628381834809976,-0.039383794662537976,0.017820935798309925,0.10333762371574047,0.02327500977582904,-1.5238720738979643,2.1,-0.8360582410835534,2.3875467407480952e-05,1078,2022Q2
01/06/2023,BRAZIL,0.008498304891755466,0.0,0.0018351696707962527,0.08101942504180429,0.03371781155886196,0.00991589795031544,0.04934450709804487,-0.006436126883943632,1.5911693557684568,0.008696305558661976,0.03311268780182197,0.0423171871864013,0.009234596514625423,0.02379454282194434,2.1000000000000596,0.023787809680621115,9.232937752544279e-07,1146,2023Q2
01/06/2024,BRAZIL,-0.004420876471249585,0.07321388813876564,-0.012740911757805534,0.07349965293145394,0.029016246751109816,0.011677591700524948,0.060739996885743136,-0.05480506237375241,1.7570954792527942,-0.004045810591844145,0.027455197737824254,0.053862323268322035,0.011843289276949113,-0.4553976964060365,2.100000000001279,-0.41444563559896286,2.9716966465258797e-06,1214,2024Q2
01/06/2025,BRAZIL,0.0038495299394216316,0.04097291306183711,-0.006811522639864405,0.07309389916752361,0.02768028044115031,0.010638422310857628,0.050244852519930966,0.08953476369004819,1.5768306083913113,0.003947110009464228,0.02814552650461266,0.04404837293863669,0.009649005275399563,0.3085572937126049,2.1,0.2948408072938102,2.5696853317523865e-07,1282,2025Q2
01/09/2003,BRAZIL,,,,,,,,,,,,,,,,,,55,2003Q3
01/09/2004,BRAZIL,,,,,,,,,,,,,,,,,,84,2004Q3
01/09/2005,BRAZIL,,,,,,,,,,,,,,,,,,113,2005Q3
01/09/2006,BRAZIL,,,,,,,,,,,,,,,,,,145,2006Q3
01/09/2007,BRAZIL,0.03728630607324122,0.0,0.03669953730558758,0.07478589497740935,0.05573123676951009,0.00840335470172324,0.03629173552903083,0.15373442636883733,1.3111430659723833,0.03728630613823815,0.05554642159543294,0.017182001071364705,0.007273460645313477,-0.05239565819581289,2.436252188791264,-0.05232388491056661,1.4774831699707396e-20,183,2007Q3
01/09/2008,BRAZIL,0.046769696390376266,0.0,0.04341988159292404,0.080013830815276,0.059175223581472064,0.010000100279895613,0.030201377997644656,-0.016179633629777257,1.3065763576956375,0.04508359906142052,-112185281202323.83,,0.00929829362239102,-0.009023058893724905,5.61749759019503e+36,-0.009022691607312047,9.427701807728591e-06,227,2008Q3
01/09/2009,BRAZIL,-0.023644783184620703,0.33003552899770466,-0.031150832077476102,0.036154147774385866,0.005881444747511039,0.013629977268827026,0.05444980651052978,-0.2354139170760606,1.4963985940725892,-0.02364478341103362,0.004949708289900294,0.01928200189304617,0.012775622489426052,-0.43399243468651183,3.375553086777495,-0.39811640826220235,6.396179016561057e-19,275,2009Q3
