countryname,quarter,JLoss,source,date
chile,2011Q1,2.5151590469892304,matlab,2011-01-01
chile,2011Q2,2.1961739098005006,matlab,2011-04-01
china,2004Q4,2.1759436983450953,matlab,2004-10-01
china,2005Q2,2.5742748482985234,matlab,2005-04-01
china,2006Q1,2.16385808709765,matlab,2006-01-01
china,2006Q4,2.4016186482208908,matlab,2006-10-01
china,2007Q2,2.5707460404706373,matlab,2007-04-01
china,2007Q3,5.000240055964131,matlab,2007-07-01
china,2007Q4,3.3879006372922005,matlab,2007-10-01
china,2008Q1,6.0416394205521184,matlab,2008-01-01
china,2008Q2,3.7361328635280815,matlab,2008-04-01
china,2008Q3,7.880421402044442,matlab,2008-07-01
china,2008Q4,8.692464767484102,matlab,2008-10-01
china,2009Q1,3.6124180284097296,matlab,2009-01-01
china,2009Q2,2.682833226183819,matlab,2009-04-01
china,2009Q3,3.8632311140786384,matlab,2009-07-01
china,2009Q4,2.274029832954263,matlab,2009-10-01
china,2010Q1,2.255059128159655,matlab,2010-01-01
china,2010Q2,2.4656885704968574,matlab,2010-04-01
china,2010Q3,2.2326441262951606,matlab,2010-07-01
china,2010Q4,2.3221012453615155,matlab,2010-10-01
china,2011Q1,2.2256461479322254,matlab,2011-01-01
china,2011Q2,2.1797753561210653,matlab,2011-04-01
colombia,2005Q2,2.410277249571203,matlab,2005-04-01
colombia,2005Q3,3.308772300482939,matlab,2005-07-01
colombia,2005Q4,3.2600598170774617,matlab,2005-10-01
colombia,2006Q1,2.904104575570458,matlab,2006-01-01
colombia,2006Q2,8.434538322348299,matlab,2006-04-01
colombia,2006Q3,2.4920040166372517,matlab,2006-07-01
colombia,2007Q4,2.334560788960159,matlab,2007-10-01
colombia,2008Q2,3.301877177980264,matlab,2008-04-01
colombia,2008Q3,3.499122193800761,matlab,2008-07-01
colombia,2008Q4,9.834541950921809,matlab,2008-10-01
colombia,2009Q1,3.4958250487130273,matlab,2009-01-01
colombia,2009Q2,2.4065412872817826,matlab,2009-04-01
colombia,2009Q4,2.3335476106524986,matlab,2009-10-01
colombia,2010Q2,2.4318101877208984,matlab,2010-04-01
colombia,2010Q4,2.432509795943932,matlab,2010-10-01
egypt,2001Q2,26.72543979281794,matlab,2001-04-01
egypt,2001Q3,26.732704002287562,matlab,2001-07-01
egypt,2001Q4,30.02637073543435,matlab,2001-10-01
egypt,2003Q1,8.340522676760923,matlab,2003-01-01
egypt,2004Q1,5.41834032749255,matlab,2004-01-01
egypt,2005Q1,2.318301450584601,matlab,2005-01-01
egypt,2005Q3,3.9257732519516053,matlab,2005-07-01
egypt,2005Q4,2.729067667757332,matlab,2005-10-01
egypt,2006Q1,3.3478381837577764,matlab,2006-01-01
egypt,2006Q2,6.703203915986117,matlab,2006-04-01
egypt,2006Q3,3.4287481477037693,matlab,2006-07-01
egypt,2006Q4,2.9066962381046464,matlab,2006-10-01
egypt,2007Q1,2.855702050044087,matlab,2007-01-01
egypt,2007Q2,2.687387071470761,matlab,2007-04-01
egypt,2007Q3,4.38459234074224,matlab,2007-07-01
egypt,2007Q4,2.8682123120701113,matlab,2007-10-01
egypt,2008Q1,3.8646667379019437,matlab,2008-01-01
egypt,2008Q2,4.214922931640262,matlab,2008-04-01
egypt,2008Q3,5.482175392336753,matlab,2008-07-01
egypt,2008Q4,15.52580368945051,matlab,2008-10-01
egypt,2009Q1,5.1079567524731315,matlab,2009-01-01
egypt,2009Q2,6.522228392001639,matlab,2009-04-01
egypt,2009Q3,3.081698878377313,matlab,2009-07-01
egypt,2009Q4,2.57806726466458,matlab,2009-10-01
egypt,2010Q1,2.6470740031643416,matlab,2010-01-01
egypt,2010Q2,3.859086216257733,matlab,2010-04-01
egypt,2010Q3,2.875816185620539,matlab,2010-07-01
egypt,2010Q4,3.167176116559216,matlab,2010-10-01
egypt,2011Q1,2.8172850024063516,matlab,2011-01-01
egypt,2011Q2,2.279620485355252,matlab,2011-04-01
indonesia,2000Q2,8.490913701942118,matlab,2000-04-01
indonesia,2000Q3,4.780441505657251,matlab,2000-07-01
indonesia,2001Q1,10.45269598881485,matlab,2001-01-01
indonesia,2001Q3,12.038829305359497,matlab,2001-07-01
indonesia,2001Q4,3.5182870034347093,matlab,2001-10-01
indonesia,2002Q1,3.527337482751343,matlab,2002-01-01
indonesia,2002Q2,4.140079791992327,matlab,2002-04-01
indonesia,2002Q3,6.058965352585015,matlab,2002-07-01
indonesia,2002Q4,5.056278705420875,matlab,2002-10-01
indonesia,2003Q1,8.531233120291215,matlab,2003-01-01
indonesia,2003Q3,3.1246979334732754,matlab,2003-07-01
indonesia,2003Q4,2.5110773993184496,matlab,2003-10-01
indonesia,2004Q1,2.6625864140817286,matlab,2004-01-01
indonesia,2004Q2,2.641838097818839,matlab,2004-04-01
indonesia,2004Q3,2.179747762178071,matlab,2004-07-01
indonesia,2004Q4,2.1641755310019253,matlab,2004-10-01
indonesia,2006Q1,2.768228507375122,matlab,2006-01-01
indonesia,2006Q2,4.477411659052305,matlab,2006-04-01
indonesia,2007Q3,2.9573043430995427,matlab,2007-07-01
indonesia,2008Q4,12.842578488608995,matlab,2008-10-01
indonesia,2009Q1,6.243593421806582,matlab,2009-01-01
indonesia,2010Q1,2.1990996902710447,matlab,2010-01-01
indonesia,2010Q2,2.623416529423355,matlab,2010-04-01
malaysia,2005Q1,2.2806865365890876,matlab,2005-01-01
malaysia,2005Q3,2.432236041675192,matlab,2005-07-01
malaysia,2005Q4,2.5876780910574206,matlab,2005-10-01
malaysia,2006Q1,2.2124098045496305,matlab,2006-01-01
malaysia,2006Q2,2.2453667177237997,matlab,2006-04-01
malaysia,2006Q3,2.190715283140182,matlab,2006-07-01
malaysia,2006Q4,2.1621630794940616,matlab,2006-10-01
malaysia,2007Q1,2.231447492115734,matlab,2007-01-01
malaysia,2007Q3,2.2055237526407714,matlab,2007-07-01
malaysia,2008Q1,2.1803491394454553,matlab,2008-01-01
malaysia,2008Q2,2.1673029326281936,matlab,2008-04-01
malaysia,2008Q3,3.219815329564219,matlab,2008-07-01
malaysia,2008Q4,6.314296636435445,matlab,2008-10-01
malaysia,2009Q1,2.614057707768229,matlab,2009-01-01
malaysia,2009Q2,2.3796087899336444,matlab,2009-04-01
malaysia,2009Q3,2.165814693021337,matlab,2009-07-01
malaysia,2009Q4,2.309186774497916,matlab,2009-10-01
malaysia,2010Q1,2.164384419408409,matlab,2010-01-01
malaysia,2010Q2,2.2019350156288957,matlab,2010-04-01
malaysia,2010Q3,2.1601064049041914,matlab,2010-07-01
malaysia,2010Q4,2.16512025560266,matlab,2010-10-01
malaysia,2011Q1,2.171756345840976,matlab,2011-01-01
malaysia,2011Q2,3.777543236082358,matlab,2011-04-01
mexico,1999Q4,6.171486853407938,matlab,1999-10-01
mexico,2000Q1,4.79341275689183,matlab,2000-01-01
mexico,2000Q2,6.2201511002291845,matlab,2000-04-01
mexico,2000Q3,6.500757568699855,matlab,2000-07-01
mexico,2000Q4,17.17488507435525,matlab,2000-10-01
mexico,2001Q1,8.811093512235628,matlab,2001-01-01
mexico,2001Q2,4.913104484762253,matlab,2001-04-01
mexico,2001Q3,3.208482656540228,matlab,2001-07-01
mexico,2001Q4,4.246794799939413,matlab,2001-10-01
mexico,2002Q1,2.7904717208121967,matlab,2002-01-01
mexico,2002Q2,4.452220162496335,matlab,2002-04-01
mexico,2002Q3,6.191223160454508,matlab,2002-07-01
mexico,2002Q4,6.854095163102647,matlab,2002-10-01
mexico,2003Q1,2.2931536830391916,matlab,2003-01-01
mexico,2003Q2,7.127153430409215,matlab,2003-04-01
mexico,2003Q3,2.800589293336536,matlab,2003-07-01
mexico,2003Q4,2.395447003439771,matlab,2003-10-01
mexico,2004Q1,3.3035863707749957,matlab,2004-01-01
mexico,2004Q2,3.3883510914186292,matlab,2004-04-01
mexico,2004Q3,2.408176904459263,matlab,2004-07-01
mexico,2004Q4,4.170423578529848,matlab,2004-10-01
mexico,2005Q1,6.047946666112972,matlab,2005-01-01
mexico,2005Q2,4.0281057895739725,matlab,2005-04-01
mexico,2005Q3,4.398148511717513,matlab,2005-07-01
mexico,2005Q4,3.946458843047984,matlab,2005-10-01
mexico,2006Q1,3.8509730984548813,matlab,2006-01-01
mexico,2006Q2,4.3424925300699195,matlab,2006-04-01
mexico,2006Q3,2.712477571135479,matlab,2006-07-01
mexico,2006Q4,5.122763675970304,matlab,2006-10-01
mexico,2007Q4,2.7238960392078955,matlab,2007-10-01
mexico,2008Q1,6.248778570428375,matlab,2008-01-01
mexico,2008Q2,2.7432983082879456,matlab,2008-04-01
mexico,2008Q3,5.039836180487605,matlab,2008-07-01
mexico,2008Q4,8.36539908881786,matlab,2008-10-01
mexico,2009Q1,4.853670423224982,matlab,2009-01-01
mexico,2009Q2,4.09271748638583,matlab,2009-04-01
mexico,2009Q3,2.9969405075843705,matlab,2009-07-01
mexico,2009Q4,2.5395770353290437,matlab,2009-10-01
mexico,2010Q1,3.0629618867085915,matlab,2010-01-01
mexico,2010Q2,2.722462698975488,matlab,2010-04-01
mexico,2010Q3,3.4079475097880714,matlab,2010-07-01
mexico,2010Q4,3.5239486516162644,matlab,2010-10-01
mexico,2011Q1,2.98004697299411,matlab,2011-01-01
mexico,2011Q2,2.777494301782279,matlab,2011-04-01
pakistan,2008Q3,28.92224564396891,matlab,2008-07-01
pakistan,2008Q4,36.46453135993012,matlab,2008-10-01
pakistan,2009Q2,31.317620814242783,matlab,2009-04-01
pakistan,2010Q2,5.891346916181498,matlab,2010-04-01
pakistan,2010Q3,4.1837096054991445,matlab,2010-07-01
pakistan,2010Q4,3.589073839406483,matlab,2010-10-01
panama,1999Q4,2.3816189294585803,matlab,1999-10-01
panama,2001Q4,4.364663738257023,matlab,2001-10-01
panama,2002Q2,3.9146791732559327,matlab,2002-04-01
panama,2002Q4,4.092887716385215,matlab,2002-10-01
panama,2003Q2,3.025148578385823,matlab,2003-04-01
panama,2003Q4,3.4703921049375355,matlab,2003-10-01
panama,2004Q2,2.299014161798206,matlab,2004-04-01
panama,2005Q2,2.2135464571413026,matlab,2005-04-01
panama,2005Q4,2.197095375986374,matlab,2005-10-01
panama,2008Q4,23.28152735640054,matlab,2008-10-01
philippines,1999Q3,24.103198395218946,matlab,1999-07-01
philippines,2002Q4,26.71129818147476,matlab,2002-10-01
philippines,2003Q3,17.33936882699238,matlab,2003-07-01
philippines,2003Q4,16.973372267618366,matlab,2003-10-01
philippines,2004Q1,13.021205139986046,matlab,2004-01-01
philippines,2004Q2,15.91298135860625,matlab,2004-04-01
philippines,2004Q3,10.936018951204948,matlab,2004-07-01
philippines,2004Q4,9.015536558166788,matlab,2004-10-01
philippines,2005Q1,8.985755810614904,matlab,2005-01-01
philippines,2005Q2,6.2209382206836406,matlab,2005-04-01
philippines,2005Q3,4.870044402951667,matlab,2005-07-01
philippines,2005Q4,5.693259785836877,matlab,2005-10-01
philippines,2006Q1,6.357597884639748,matlab,2006-01-01
philippines,2006Q2,12.99129945654827,matlab,2006-04-01
philippines,2006Q3,11.377964058508889,matlab,2006-07-01
philippines,2006Q4,5.280673321097055,matlab,2006-10-01
philippines,2007Q1,6.065353614718837,matlab,2007-01-01
philippines,2007Q2,5.077582497155723,matlab,2007-04-01
philippines,2007Q3,8.257508336866668,matlab,2007-07-01
philippines,2007Q4,5.608414400690301,matlab,2007-10-01
philippines,2008Q1,9.851489927318246,matlab,2008-01-01
philippines,2008Q2,6.911130580017154,matlab,2008-04-01
philippines,2008Q3,12.257785570897687,matlab,2008-07-01
philippines,2008Q4,18.37265776524579,matlab,2008-10-01
philippines,2009Q1,11.169315594101045,matlab,2009-01-01
philippines,2009Q2,6.673534995619843,matlab,2009-04-01
philippines,2009Q3,3.4553074761785627,matlab,2009-07-01
philippines,2009Q4,3.2465442820143173,matlab,2009-10-01
philippines,2010Q1,3.160590712571018,matlab,2010-01-01
philippines,2010Q2,3.8243837000521395,matlab,2010-04-01
philippines,2010Q3,2.2601912355889175,matlab,2010-07-01
philippines,2010Q4,2.587150501614866,matlab,2010-10-01
philippines,2011Q1,2.6564354732787043,matlab,2011-01-01
philippines,2011Q2,2.316590393457112,matlab,2011-04-01
poland,2008Q2,5.9326955669209065,matlab,2008-04-01
poland,2009Q4,2.162242867634443,matlab,2009-10-01
poland,2010Q2,2.1831488329304563,matlab,2010-04-01
russia,2003Q2,2.1673773498150855,merton,2003-04-01
russia,2003Q3,2.1600620871724425,merton,2003-07-01
russia,2003Q4,3.2452492276978604,merton,2003-10-01
russia,2004Q1,11.840380847981676,merton,2004-01-01
russia,2004Q2,2.1599999999891777,merton,2004-04-01
russia,2004Q3,2.160000119782041,merton,2004-07-01
russia,2004Q4,2.159999999904338,merton,2004-10-01
russia,2005Q1,2.5377346617324297,merton,2005-01-01
russia,2005Q2,2.1600323491198985,merton,2005-04-01
russia,2005Q3,4.881798063691366,merton,2005-07-01
russia,2005Q4,2.4581677335494234,merton,2005-10-01
russia,2006Q1,45.33778164030637,merton,2006-01-01
russia,2006Q2,2.690087142817188,merton,2006-04-01
russia,2006Q3,2.1600918212399587,merton,2006-07-01
russia,2006Q4,2.1635999973817097,merton,2006-10-01
russia,2007Q1,2.1728485133303397,merton,2007-01-01
russia,2007Q2,2.2994300742726774,merton,2007-04-01
russia,2007Q3,7.612690064466912,merton,2007-07-01
russia,2007Q4,5.328085952231706,merton,2007-10-01
russia,2008Q1,2.178193766311943,merton,2008-01-01
russia,2008Q2,3.3579096555584433,merton,2008-04-01
russia,2008Q3,35.284505880779875,merton,2008-07-01
russia,2008Q4,25.42137468197497,merton,2008-10-01
russia,2009Q1,10.91436860316331,merton,2009-01-01
russia,2009Q2,7.825002258950517,merton,2009-04-01
russia,2009Q3,11.277419109335366,merton,2009-07-01
russia,2009Q4,11.726649857217213,merton,2009-10-01
russia,2010Q1,2.220361018107462,merton,2010-01-01
russia,2010Q2,2.467474197768646,merton,2010-04-01
russia,2010Q3,2.161703541835846,merton,2010-07-01
russia,2010Q4,2.533080984459761,merton,2010-10-01
russia,2011Q1,2.334035038895111,merton,2011-01-01
russia,2011Q2,2.1663659567362217,merton,2011-04-01
turkey,1999Q1,16.553122017128313,merton,1999-01-01
turkey,1999Q2,19.670996672019577,merton,1999-04-01
turkey,1999Q3,12.911711222587552,merton,1999-07-01
turkey,1999Q4,30.885594691317394,merton,1999-10-01
turkey,2000Q1,15.269479781462127,merton,2000-01-01
turkey,2000Q2,2.1600103086546913,merton,2000-04-01
turkey,2000Q3,2.831851340673528,merton,2000-07-01
turkey,2000Q4,8.18416623238822,merton,2000-10-01
turkey,2001Q1,19.866329108779325,merton,2001-01-01
turkey,2001Q2,9.933207454853585,merton,2001-04-01
turkey,2001Q3,10.814423195437794,merton,2001-07-01
turkey,2001Q4,5.167787627903777,merton,2001-10-01
turkey,2002Q1,3.726006189926336,merton,2002-01-01
turkey,2002Q2,5.786638823119949,merton,2002-04-01
turkey,2002Q3,7.52067382713439,merton,2002-07-01
turkey,2002Q4,7.861223198221573,merton,2002-10-01
turkey,2003Q1,8.706419402622661,merton,2003-01-01
turkey,2003Q2,2.54283875642093,merton,2003-04-01
turkey,2003Q3,2.3438821630871742,merton,2003-07-01
turkey,2003Q4,6.118648242202549,merton,2003-10-01
turkey,2004Q1,3.0274392157932795,merton,2004-01-01
turkey,2004Q2,2.673344156461596,merton,2004-04-01
turkey,2004Q3,3.153343091339818,merton,2004-07-01
turkey,2004Q4,2.299695428318121,merton,2004-10-01
turkey,2005Q1,4.409224504954875,merton,2005-01-01
turkey,2005Q2,3.089495550547076,merton,2005-04-01
turkey,2005Q3,2.522129156734751,merton,2005-07-01
turkey,2005Q4,2.992650577098986,merton,2005-10-01
turkey,2006Q1,2.336110885515209,merton,2006-01-01
turkey,2006Q2,5.096075488205383,merton,2006-04-01
turkey,2006Q3,2.3418420504761412,merton,2006-07-01
turkey,2006Q4,4.501521384031201,merton,2006-10-01
turkey,2007Q1,2.2579808224504787,merton,2007-01-01
turkey,2007Q2,0.12221419902716027,merton,2007-04-01
turkey,2007Q3,1.412802837471803,merton,2007-07-01
turkey,2007Q4,0.1939915005722686,merton,2007-10-01
turkey,2008Q1,2.3076850156027797,merton,2008-01-01
turkey,2008Q2,2.676700126833995,merton,2008-04-01
turkey,2008Q3,7.259802100993163,merton,2008-07-01
turkey,2008Q4,13.344504394340538,merton,2008-10-01
turkey,2009Q1,4.1222993713863545,merton,2009-01-01
turkey,2009Q2,3.265614289166745,merton,2009-04-01
turkey,2009Q3,2.231709610744568,merton,2009-07-01
turkey,2009Q4,0.12826849647226302,merton,2009-10-01
turkey,2010Q1,3.288948023070061,merton,2010-01-01
turkey,2010Q2,2.781193922485642,merton,2010-04-01
turkey,2010Q3,0.10411609655720044,merton,2010-07-01
turkey,2010Q4,0.4673791708640933,merton,2010-10-01
turkey,2011Q1,4.162496613194942,merton,2011-01-01
turkey,2011Q2,0.03203027678701325,merton,2011-04-01
venezuela,2002Q3,46.28747222656427,merton,2002-07-01
venezuela,2002Q4,6.874813559439808,merton,2002-10-01
venezuela,2003Q2,3.5429400014806123,merton,2003-04-01
venezuela,2003Q3,2.637710861233389,merton,2003-07-01
venezuela,2003Q4,2.164489403063058,merton,2003-10-01
venezuela,2004Q1,2.3615597341128476,merton,2004-01-01
venezuela,2004Q2,2.1602983739060906,merton,2004-04-01
venezuela,2004Q3,3.6114184930237645,merton,2004-07-01
venezuela,2004Q4,2.10569980716547,merton,2004-10-01
venezuela,2005Q1,2.2466967499390034,merton,2005-01-01
venezuela,2005Q2,2.2267943501551515,merton,2005-04-01
venezuela,2005Q3,2.2484339009464662,merton,2005-07-01
venezuela,2005Q4,3.1312881471683967,merton,2005-10-01
venezuela,2006Q1,15.800896147775678,merton,2006-01-01
venezuela,2006Q2,7.214247026386945,merton,2006-04-01
venezuela,2006Q3,2.1645275845012684,merton,2006-07-01
venezuela,2006Q4,4.330674821411796,merton,2006-10-01
venezuela,2007Q1,16.937782896631735,merton,2007-01-01
venezuela,2007Q2,2.198003185464216,merton,2007-04-01
venezuela,2007Q3,2.1637015894854175,merton,2007-07-01
venezuela,2007Q4,6.379700100872047,merton,2007-10-01
venezuela,2008Q1,2.3306211254535274,merton,2008-01-01
venezuela,2008Q2,2.2630881051047265,merton,2008-04-01
venezuela,2008Q3,3.851930215649367,merton,2008-07-01
venezuela,2008Q4,2.2382795575907775,merton,2008-10-01
venezuela,2009Q1,2.4306185190157037,merton,2009-01-01
venezuela,2009Q2,2.1604755413994803,merton,2009-04-01
venezuela,2009Q3,2.5288129334418503,merton,2009-07-01
venezuela,2009Q4,2.299198813497688,merton,2009-10-01
venezuela,2010Q1,12.819039506505458,merton,2010-01-01
venezuela,2010Q2,3.9881544349835734,merton,2010-04-01
venezuela,2010Q3,2.1604798390455917,merton,2010-07-01
venezuela,2010Q4,2.1605414068756534,merton,2010-10-01
venezuela,2011Q1,2.1608340218104303,merton,2011-01-01
venezuela,2011Q2,3.2949318324833574,merton,2011-04-01
