country,quarter,EMBI_bps,JLoss,GaR,GaR_st,prob_neg,ES,skew,std,g_GDP,VIX,JLoss_x_GaR,t
brazil,2016Q4,327.59532786885245,36.41643267681334,-0.0329503407232081,-0.0329503401720035,0.9016560880316076,-0.03756881106257,-0.0473713533301274,0.0115844107972237,-1.39842060068296,-0.718905224150513,-1.1999338646247688,2016Q4
brazil,2017Q1,282.7566774193548,18.546882798813822,-0.0101328752826144,-0.010132875341552,0.2373486191802706,-0.0140100038144698,0.1280677421909855,0.0107722972817682,-0.631285435901998,-0.934641383060012,-0.18793325028164676,2017Q1
brazil,2017Q2,272.34461904761906,20.95357797823539,-0.0045351620583106,-0.0056314113851672,0.1517999013333927,-0.0080368818596271,-0.0748005710447117,0.0104611015945448,-0.478850529043683,-1.08836954419912,-0.09502787183274568,2017Q2
brazil,2017Q3,262.8234126984127,4.704309137256169,0.0052694124589058,0.0052694124969206,0.0,0.0002144015125619,0.0248101420604463,0.0086998991475558,-0.221506565350885,-1.30410570310861,0.024788945178402053,2017Q3
brazil,2017Q4,236.10695161290326,7.615028785641041,0.0072653726635925,0.0072653725196246,0.0,0.0037027938486765,0.0901191345225352,0.0095651499575314,0.0606817864764769,-1.10645521021548,0.05532602197166641,2017Q4
brazil,2018Q1,226.02162295081968,5.623224951033442,-0.0114903538119094,-0.0112511283575175,0.0973032250546978,-0.0169951482211931,-0.0324114138136861,0.0119269417136637,-0.141764015295992,0.0471519149712374,-0.06461284425133117,2018Q1
brazil,2018Q2,270.79979687499997,13.524662469265897,-0.0049796175350685,-0.0049796172952681,0.0965502594640562,-0.0115021694218307,0.0627688020452455,0.0121348285277086,-0.228672168792169,-0.454079400339453,-0.0673476463878393,2018Q2
brazil,2018Q3,299.6986031746032,11.707772698650777,0.0020792323003858,0.0020792322225543,0.0357175926108359,-0.0015602667065591,0.035310910223698,0.0101299312566744,-0.0959414351079456,-0.966937215232092,0.02434317916060972,2018Q3
brazil,2018Q4,262.3304262295082,8.193307975496902,-0.0233444285187488,-0.022748359108512,0.1362395592171899,-0.0286829997478554,-0.0475608433016698,0.0135039555540049,-0.247428016169027,0.751201056322594,-0.1912680923660819,2018Q4
brazil,2019Q1,242.16071666666664,7.001459335284599,-0.0094625860293866,-0.0094625858866481,0.1402861610439859,-0.010867741277995,-0.0724933368088072,0.0103403891322269,-0.444567635751239,-0.76153572261766,-0.06625191129138243,2019Q1
brazil,2019Q2,246.07928571428567,3.595638907570019,-0.0093799738085155,-0.0093799739063876,0.1314775774212771,-0.0130486528804566,-0.0446624889650141,0.0103358129228202,-0.362686240256129,-0.584554562314658,-0.03372699877788606,2019Q2
brazil,2019Q3,224.364734375,3.799004344672023,-0.0115890532829594,-0.0115375815060779,0.136207410762976,-0.0159049489734894,-0.029677512391689,0.010377504157478,-0.381713057232641,-0.434701901036205,-0.04402686377259833,2019Q3
brazil,2019Q4,228.75717741935486,2.91359366684868,-0.003234583920956,-0.003231216808566,0.0700930916512551,-0.0070638744329406,-0.0029863105466457,0.0095915110087851,-0.205409458783345,-0.752492889609477,-0.009424263226987972,2019Q4
brazil,2020Q1,262.3676984126984,19.94328215835313,-0.0471121783793162,-0.05111752630584,0.5880922173623888,-0.0690602982350869,0.1569308694446656,0.035445364547206,-0.591465827569296,4.38383625903822,-0.939571466513367,2020Q1
brazil,2020Q2,399.5070317460317,12.514655235996079,-0.1431987703049954,-0.1431526525579303,1.0,-0.2171745254542856,0.0793653826055256,0.0171240165030588,-3.7741997918186,1.39840953305109,-1.7920832405856104,2020Q2
brazil,2020Q3,328.89615625,3.426920198579731,-0.0521711540272837,-0.0513839591862393,0.8447249992194611,-0.1173180565436267,0.1249540573018756,0.0110966444758259,-1.63200417340227,0.8739252185765,-0.17878638151931278,2020Q3
brazil,2020Q4,278.73917741935486,4.280203454450442,-0.0204108535510537,-0.0195006438947587,0.1389642691789663,-0.0250587773389073,0.8082438321939696,0.0083151945007032,-0.817110406484951,0.406281568724773,-0.08736260587750211,2020Q4
brazil,2021Q1,269.73221311475413,4.621398803209881,-0.0090468485135611,-0.0090468485602278,0.0878372707495573,-0.0129354978446015,0.1753378092642704,0.0126038431195431,-0.188601299395531,-0.0264825823811063,-0.04180909489339236,2021Q1
brazil,2021Q2,254.59522222222222,3.1656130040091184,0.0686656410059039,0.0690834662604126,0.0,0.0653990713211059,-0.4731556359597242,0.0099087007017351,3.022756375689,-0.487667065798417,0.21736884609691115,2021Q2
brazil,2021Q3,283.7999375,7.044263820847258,-0.0040701905896664,-0.0036585362301708,0.0770602667755598,-0.0311518937553327,0.0113837046344753,0.0155437227558004,0.554344234235301,0.456663066913219,-0.02867149631473999,2021Q3
brazil,2021Q4,318.7801935483871,18.76227620955332,-0.016775790466093,-0.0167757899565538,0.2072571328032354,-0.0275704228470547,-0.0011221019255871,0.0156791316575411,-0.276426632732219,-0.308102238921649,-0.3147520143584281,2021Q4
