date,countryname,bankname,price,mktcap
2020-11-16,peru,interbank,17.32953453063965,1924837132.959772
2020-11-17,peru,interbank,18.96708869934082,2106724595.9828625
2020-11-18,peru,interbank,18.79431915283203,2087534626.513298
2020-11-19,peru,interbank,19.15488052368164,2127583129.4950218
2020-11-20,peru,interbank,20.018728256225586,2223532976.842844
2020-11-23,peru,interbank,20.829994201660156,2313642426.3330917
2020-11-24,peru,interbank,21.889148712158203,2431285512.922863
2020-11-25,peru,interbank,21.92670440673828,2435456923.0293503
2020-11-27,peru,interbank,22.89571762084961,2543087777.9465675
2020-11-30,peru,interbank,22.53515625,2503039274.9648438
2020-12-01,peru,interbank,23.22623062133789,2579798729.134609
2020-12-02,peru,interbank,23.03843879699707,2558940195.62245
2020-12-03,peru,interbank,23.323883056640625,2590645242.8284607
2020-12-04,peru,interbank,22.790550231933594,2531406558.5229263
2020-12-07,peru,interbank,23.429048538208008,2602326250.3978558
2020-12-08,peru,interbank,23.737030029296875,2636534567.376251
2020-12-09,peru,interbank,23.72951889038086,2635700285.354954
2020-12-10,peru,interbank,23.737030029296875,2636534567.376251
2020-12-11,peru,interbank,22.57271385192871,2507210896.925577
2020-12-14,peru,interbank,22.167081832885742,2462156278.1075764
2020-12-15,peru,interbank,23.63937759399414,2625688053.6823997
2020-12-16,peru,interbank,23.451583862304688,2604829308.3159943
2020-12-17,peru,interbank,22.903226852416992,2543921848.113619
2020-12-18,peru,interbank,22.414968490600586,2489689703.352854
2020-12-21,peru,interbank,22.347360610961914,2482180317.744192
2020-12-22,peru,interbank,22.97834587097168,2552265515.743578
2020-12-23,peru,interbank,23.128583908081055,2568952851.003496
2020-12-24,peru,interbank,22.53515625,2503039274.9648438
2020-12-28,peru,interbank,22.685388565063477,2519725974.6620235
2020-12-29,peru,interbank,23.181161880493164,2574792825.1525784
2020-12-30,peru,interbank,23.53421401977539,2614007257.967251
2020-12-31,peru,interbank,24.30040740966797,2699110379.7669754
2021-01-04,peru,interbank,23.954870223999023,2660730652.6820927
2021-01-05,peru,interbank,23.90979766845703,2655724324.9915695
2021-01-06,peru,interbank,24.51824951171875,2723306676.927063
2021-01-07,peru,interbank,24.42810821533203,2713294445.254509
2021-01-08,peru,interbank,25.8703556060791,2873488669.0356503
2021-01-11,peru,interbank,26.245943069458008,2915206159.768461
2021-01-12,peru,interbank,26.10321807861328,2899353318.3840866
2021-01-13,peru,interbank,25.517309188842773,2834274871.783716
2021-01-14,peru,interbank,26.328571319580078,2924383897.5654716
2021-01-15,peru,interbank,26.013080596923828,2889341510.420025
2021-01-19,peru,interbank,24.848766326904297,2760018051.823597
2021-01-20,peru,interbank,24.953929901123047,2771698847.538746
2021-01-21,peru,interbank,24.991485595703125,2775870257.645233
2021-01-22,peru,interbank,24.53327178955078,2724975240.969658
2021-01-25,peru,interbank,24.833744049072266,2758349487.781002
2021-01-26,peru,interbank,24.5257625579834,2724141170.8026066
2021-01-27,peru,interbank,24.187732696533203,2686595302.030529
2021-01-28,peru,interbank,23.56426239013672,2617344809.760933
2021-01-29,peru,interbank,24.060033798217773,2672411448.3972416
2021-02-01,peru,interbank,23.76707649230957,2639871907.315687
2021-02-02,peru,interbank,23.6844482421875,2630694169.5186768
2021-02-03,peru,interbank,23.661911010742188,2628190899.746292
2021-02-04,peru,interbank,23.691959381103516,2631528451.539974
2021-02-05,peru,interbank,23.90228843688965,2654890254.824518
2021-02-08,peru,interbank,24.443132400512695,2714963221.15135
2021-02-09,peru,interbank,25.096651077270508,2787551265.214628
2021-02-10,peru,interbank,24.64594841003418,2737490530.5603504
2021-02-11,peru,interbank,24.150175094604492,2682423680.0697956
2021-02-12,peru,interbank,25.47223663330078,2829268544.093193
2021-02-16,peru,interbank,25.99054527282715,2886838452.5018864
2021-02-17,peru,interbank,26.12575340270996,2901856376.302225
2021-02-18,peru,interbank,25.8853816986084,2875157656.7867374
2021-02-19,peru,interbank,26.35862159729004,2927721661.2134
2021-02-22,peru,interbank,26.336084365844727,2925218391.4410152
2021-02-23,peru,interbank,26.043127059936523,2892678850.359461
2021-02-24,peru,interbank,25.4497013092041,2826765486.1750546
2021-02-25,peru,interbank,26.245943069458008,2915206159.768461
2021-02-26,peru,interbank,26.215896606445312,2911868819.8290253
2021-03-01,peru,interbank,25.75768280029297,2860973803.15345
2021-03-02,peru,interbank,25.53984260559082,2836777717.8476086
2021-03-03,peru,interbank,25.044069290161133,2781710867.3570538
2021-03-04,peru,interbank,24.503225326538086,2721637901.030222
