seed,N,b3,t3,p3,b1,bD,cr_N,cr_b3,cr_t3,cr_p3,b4_bk,sum_bk,sum_bk_p,b4_em,sum_em,sum_em_p,error
116,617,0.23161904706072292,1.177128641112149,0.23969538848153404,2.8480864551506184,4.13647525747555,617,0.8584644703879689,2.2545871646846556,0.02458944896950843,-0.9895503776647836,-0.13108590727681468,0.10248386745173499,0.2852280826419781,1.1436925530299469,0.0012805184361774913,
117,617,0.24487234107296962,1.312532055235396,0.18993335865548455,2.7391740461322254,6.520296461318273,617,0.8825726823697765,2.39649973381611,0.016917361529632746,-1.0053310199316683,-0.1227583375618918,0.1312081127354061,0.2395687737043161,1.1221414560740925,0.001963554204612805,
118,617,0.17665354986640894,1.334282825252423,0.18270897323149793,2.65976767992847,6.490096442368906,617,0.691222085782433,2.0226148713104974,0.0436425362217312,-0.763579541617376,-0.07235745583494291,0.3142295963114934,0.2078289399722744,0.8990510257547074,0.005201875957580038,
119,617,0.229039495741585,1.1580779967315025,0.24737636922926165,2.7647097527237787,5.36471116168079,617,0.943283259421183,2.3646012876564013,0.01842902965228399,-1.0934414272994897,-0.15015816787830671,0.10485665628635799,0.23115862807607732,1.1744418874972602,0.0010997319256824678,
120,617,0.23333660849448132,1.305722490606279,0.1922379358028743,2.7365964313915674,5.996820407114074,617,0.8152046205557302,2.328493767488703,0.020282102888642184,-0.9254069295873258,-0.11020230903159567,0.13171177780332344,0.26006853328246987,1.0752731538382,0.004141930579800057,
121,617,0.24183487612884016,1.2357180004204222,0.2171345245700076,2.7857788957628817,5.367569705651569,617,0.8903929110544848,2.3766156157116565,0.0178462865860185,-1.0265370775430351,-0.13614416648855032,0.09917866621185456,0.2628311372242667,1.1532240482787515,0.001443060164287413,
122,617,0.21015863548122557,1.2348175881077486,0.21746923641513294,2.730211652648274,5.913780430512014,617,0.8662589108211076,2.2656828111576743,0.02389592920086514,-0.9758311658067358,-0.10957225498562817,0.17789973131882952,0.19916444623460144,1.065423357055709,0.0016852254623997975,
123,617,0.21172466385591954,1.3835437361782512,0.16710585948511447,2.636682116042836,7.145243184491257,617,0.7667912783126682,2.215832335584947,0.0271507852900863,-0.8527685265493796,-0.08597724823671138,0.2370363268564355,0.21689300547594148,0.9836842837886097,0.002668836900914684,
124,617,0.23515270090679183,1.3856110546634468,0.16647371512068854,2.7021032510936362,6.961622168300929,617,0.8112511131495338,2.3424854204297247,0.019545526110763767,-0.9130233879200071,-0.10177227477047335,0.17784836089227984,0.22420732830720908,1.035458441456743,0.003599317999227747,
125,617,0.20065888048712838,1.2107291391333634,0.2265622121507238,2.695521720328363,5.681057289358312,617,0.8509845598149096,2.2336116162433655,0.025948389405274552,-0.9572516029400899,-0.10626704312518032,0.18775555714571013,0.19081253493230513,1.0417970947472148,0.0017812769413410035,
126,617,0.15801584940033125,1.1188408590146177,0.2637368018105333,2.6995018131569966,5.412110618370615,617,0.7576308728028245,1.960160245324044,0.05052979384060441,-0.8484713476546598,-0.09084047485183533,0.24809029557675943,0.20787883150589775,0.9655097043087222,0.0017653831744652848,
127,617,0.1872317307123279,1.26878869272123,0.2050974981374991,2.672291946545015,5.91201060164592,617,0.7661498478227996,2.1262547362017683,0.03396935443385951,-0.850682716877931,-0.08453286905513135,0.25521449399815865,0.19703364765738945,0.963183495480189,0.002835449893431541,
128,617,0.1660230375747359,1.2614025811131018,0.2077427624432453,2.6557834351351923,5.95223643853663,617,0.6994975218837803,1.9982551395950914,0.046227922318943016,-0.7739782041765411,-0.07448068229276072,0.30006316170047875,0.20209914318740668,0.9015966650711871,0.004043431056717894,
129,617,0.19133199935204606,1.5492336514620015,0.12194829611359337,2.6655327680673127,7.906228837072389,617,0.6045294670092763,1.9517008425151305,0.05152941524847421,-0.659997251847671,-0.05546778483839465,0.416598869429343,0.24942111419758564,0.853950581206862,0.007226550665312859,
130,617,0.2628432482838548,1.499410317205781,0.13438839648473544,2.7448606396333,7.8914011758459655,617,0.748231545544328,2.3269290291762834,0.020365968266898182,-0.8378421495164337,-0.08961060397210563,0.16252572564465195,0.31214827112459753,1.0603798166689256,0.005923874562768328,
131,617,0.16323987066676843,1.1950897895655876,0.23260957296616702,2.6451580899067206,5.811936823508878,617,0.7397151906988093,2.029611638862606,0.04292298488969215,-0.8235102369347088,-0.0837950462358995,0.2665286837522758,0.19322059238999026,0.9329357830887995,0.003136577905014759,
132,617,0.22802706588188357,1.3530657155138575,0.1766364694541258,2.723119763594029,5.607598844500705,617,0.8094986045973391,2.236784746870212,0.02573872081061901,-0.9054711875651252,-0.0959725829677861,0.16467493110355003,0.23299719847413927,1.0424958030714784,0.0017242403347068613,
133,617,0.25081059868971434,1.431858817417876,0.15279919677134957,2.716437530399942,7.733103850539993,617,0.8367727258125288,2.340280104681415,0.019660043750972855,-0.9380589048599888,-0.10128617904745996,0.19459004305351124,0.22896212249106282,1.0657348483035916,0.003478699128895313,
134,617,0.2518377003653375,1.26607416998508,0.20606680919958187,2.7963664562520707,5.465959563685658,617,0.8988773521485829,2.348596131725121,0.01923125706107842,-1.0303013992003847,-0.13142404705180177,0.09232161453140253,0.26035505470413706,1.15923240685272,0.0015252915481021034,
135,617,0.17912620625888634,1.2347755358221906,0.21748487767555846,2.6746259746366503,5.498407521641655,617,0.7457297223710883,2.105582373457465,0.035736733639207374,-0.8284962578078404,-0.08276653543675216,0.25732187237517357,0.20661126869659038,0.9523409910676787,0.0024289205986864904,
136,617,0.24898894456973633,1.3415920697834112,0.18032770224498296,2.747133641755255,6.5602864266271705,617,0.8809698510153565,2.4033157724227294,0.016608878830040696,-0.9981772575815625,-0.11720740656620598,0.14576000050914106,0.23211075178299026,1.1130806027983469,0.001992145751091412,
137,617,0.20849714866379318,1.2891542448746447,0.19793115878847,2.6915088750109635,5.675062407131342,617,0.7715094770572062,2.2252037981865227,0.02651112276281209,-0.8647477993345326,-0.09323832227732642,0.18517886478488066,0.2361753850696394,1.0076848621268455,0.0027382179131365536,
138,617,0.17544952857613752,1.2314696884112966,0.2187170209259086,2.6448801676465523,6.270855799771634,617,0.7522644370907017,2.1023342132585356,0.03602146546423035,-0.8402422282616537,-0.08797779117095206,0.26209182144230003,0.19784455537778114,0.9501089924684828,0.0032720422252874304,
139,617,0.22595019429755034,1.3586037164005351,0.1748751552073915,2.7177343359331974,6.520267969700104,617,0.8173814721571222,2.2842640878447353,0.022772604995504375,-0.9120807038800564,-0.09469923172293415,0.21658486618638007,0.2117809436501118,1.0291624158072339,0.0028672549402100067,
140,617,0.23032864400697967,1.3190662674651887,0.18774122236775836,2.7028034952348956,7.622827352361403,617,0.8596330362447707,2.3195858223046812,0.020763608192632788,-0.9794203181159958,-0.11978728187122512,0.1629154805357924,0.23270414664075306,1.0923371828855237,0.003109565257825908,
