quarter,country,EMBI_bps,CDS_bps
2010Q1,malaysia,143.24590163934425,92.657890625
2010Q2,malaysia,145.36507936507937,94.33415384615385
2010Q3,malaysia,142.9375,90.67451515151515
2010Q4,malaysia,126.26229508196721,73.95678125
2011Q1,malaysia,108.51612903225806,78.211546875
2011Q2,malaysia,128.28571428571428,79.16687692307691
2011Q3,malaysia,164.96875,118.68431818181818
2011Q4,malaysia,178.6,154.08116981132076
2012Q1,malaysia,175.9516129032258,124.89058139534883
2012Q2,malaysia,175.47619047619048,122.7466779661017
2012Q3,malaysia,148.82539682539684,113.53855555555556
2012Q4,malaysia,108.6,70.7375
2013Q1,malaysia,111.62295081967213,82.34303703703705
2013Q2,malaysia,131.921875,89.66296363636363
2013Q3,malaysia,150.203125,125.26745714285714
2013Q4,malaysia,141.52459016393442,107.0978909090909
2014Q1,malaysia,118.85245901639344,109.4806875
2014Q2,malaysia,93.7936507936508,93.47106153846153
2014Q3,malaysia,92.203125,82.3925
2014Q4,malaysia,150.98360655737704,87.6315294117647
2015Q1,malaysia,249.29508196721312,131.94182258064515
2015Q2,malaysia,199.328125,122.22346153846154
2015Q3,malaysia,246.46875,165.52663636363636
2015Q4,malaysia,247.98387096774192,191.4533787878788
2016Q1,malaysia,244.21311475409837,181.67859375
2016Q2,malaysia,218.921875,160.21346153846153
2016Q3,malaysia,211.28125,128.81913636363637
2016Q4,malaysia,199.44262295081967,138.68192063492063
2017Q1,malaysia,144.7741935483871,118.40849206349206
2017Q2,malaysia,143.12698412698413,100.38872307692307
2017Q3,malaysia,134.73015873015873,76.74241538461538
2017Q4,malaysia,112.74193548387096,63.803466666666665
2018Q1,malaysia,108.11666666666666,61.357953125
2018Q2,malaysia,136.46875,85.14743076923077
2018Q3,malaysia,139.06349206349208,93.15947692307692
2018Q4,malaysia,139.21311475409837,108.54786363636363
2019Q1,malaysia,136.34426229508196,78.750796875
2019Q2,malaysia,128.33333333333334,61.24886153846154
2019Q3,malaysia,120.296875,51.304848484848485
2019Q4,malaysia,119.12903225806451,42.60483333333333
2020Q1,malaysia,149.79032258064515,66.46292307692308
2020Q2,malaysia,239.71428571428572,96.13704615384616
2020Q3,malaysia,157.140625,54.66487878787879
2020Q4,malaysia,130.69354838709677,41.35792424242425
2021Q1,malaysia,113.77049180327869,40.51753125
2021Q2,malaysia,108.84126984126983,45.545
2021Q3,malaysia,119.234375,47.64330303030303
2021Q4,malaysia,117.66129032258064,55.141030303030306
2022Q1,malaysia,128.40322580645162,61.6523125
2022Q2,malaysia,129.19354838709677,84.18278461538462
2022Q3,malaysia,121.140625,87.86506060606061
2022Q4,malaysia,114.93442622950819,92.34933846153847
2023Q1,malaysia,103.2258064516129,71.14892307692308
2023Q2,malaysia,97.55555555555556,65.95286153846153
2023Q3,malaysia,92.63492063492063,49.73278461538462
2023Q4,malaysia,90.37096774193549,50.75286153846154
2024Q1,malaysia,84.45901639344262,42.329953125
2024Q2,malaysia,77.57377049180327,45.831753846153845
2024Q3,malaysia,84.328125,40.97166666666667
2024Q4,malaysia,70.69354838709677,42.424454545454545
2025Q1,malaysia,76.54098360655738,46.846171875
2025Q2,malaysia,87.70967741935483,55.533307692307694
2025Q3,malaysia,63.90625,41.155287878787874
2025Q4,malaysia,57.58064516129032,40.48718181818182
2026Q1,malaysia,57.16393442622951,40.9791875
2026Q2,malaysia,47.142857142857146,37.29343076923077
2026Q3,malaysia,47.72727272727273,35.95430952380952
2000Q1,mexico,361.06349206349205,
2000Q2,mexico,402.06349206349205,
2000Q3,mexico,333.92063492063494,
2000Q4,mexico,367.3225806451613,
2001Q1,mexico,396.53225806451616,
2001Q2,mexico,342.0952380952381,
2001Q3,mexico,355.24590163934425,
2001Q4,mexico,359.5967741935484,
2002Q1,mexico,277.6666666666667,
2002Q2,mexico,266.4375,
2002Q3,mexico,374.015625,
2002Q4,mexico,348.9516129032258,
2003Q1,mexico,309.9672131147541,
2003Q2,mexico,239.6031746031746,
2003Q3,mexico,226.78125,
2003Q4,mexico,207.88709677419354,
2004Q1,mexico,190.8709677419355,111.908859375
2004Q2,mexico,204.85714285714286,141.73626984126983
2004Q3,mexico,195.265625,117.88252307692306
2004Q4,mexico,179.3709677419355,92.54583076923078
2005Q1,mexico,172.65573770491804,85.385046875
2005Q2,mexico,189.875,105.8429375
2005Q3,mexico,161.8125,79.47863636363637
2005Q4,mexico,144.80327868852459,68.19158461538463
2006Q1,mexico,134.66129032258064,59.66386153846154
2006Q2,mexico,149.88888888888889,77.36255384615384
2006Q3,mexico,132.57142857142858,55.21904615384615
2006Q4,mexico,129.1290322580645,46.040671875
2007Q1,mexico,122.66129032258064,41.89504615384615
2007Q2,mexico,101.55555555555556,32.92343076923077
2007Q3,mexico,130.76190476190476,53.886307692307696
2007Q4,mexico,149.16129032258064,59.89901515151515
2008Q1,mexico,190.01639344262296,116.59926153846155
2008Q2,mexico,162.5,89.11606153846154
2008Q3,mexico,213.28125,122.75430769230769
