country,quarter,CR3_q,HHI_q,n_bancos
hungary,2011Q3,,,2
hungary,2011Q4,,,2
hungary,2012Q1,,,2
hungary,2012Q2,,,2
hungary,2012Q3,,,2
hungary,2012Q4,,,2
hungary,2013Q1,,,2
hungary,2013Q2,,,2
hungary,2013Q3,,,2
hungary,2013Q4,,,2
hungary,2014Q1,,,2
hungary,2014Q2,,,2
hungary,2014Q3,,,2
hungary,2014Q4,,,2
hungary,2015Q1,,,2
hungary,2015Q2,,,2
hungary,2015Q3,,,2
hungary,2015Q4,,,2
hungary,2016Q1,,,2
hungary,2016Q2,,,2
hungary,2016Q3,,,2
hungary,2016Q4,,,2
hungary,2017Q1,,,2
hungary,2017Q2,,,2
hungary,2017Q3,,,2
hungary,2017Q4,,,2
hungary,2018Q1,,,2
hungary,2018Q2,,,2
hungary,2018Q3,,,2
hungary,2018Q4,,,2
hungary,2019Q1,,,2
hungary,2019Q2,,,2
hungary,2019Q3,,,2
hungary,2019Q4,,,2
hungary,2020Q1,,,2
hungary,2020Q2,,,2
hungary,2020Q3,,,2
hungary,2020Q4,,,2
hungary,2021Q1,,,2
hungary,2021Q2,,,2
hungary,2021Q3,,,2
hungary,2021Q4,,,2
hungary,2022Q1,,,2
hungary,2022Q2,,,2
hungary,2022Q3,,,2
hungary,2022Q4,,,2
hungary,2023Q1,,,2
hungary,2023Q2,,,2
hungary,2023Q3,,,2
hungary,2023Q4,,,2
hungary,2024Q1,,,2
hungary,2024Q2,,,2
hungary,2024Q3,,,2
hungary,2024Q4,,,2
hungary,2025Q1,,,2
hungary,2025Q2,,,2
hungary,2025Q3,,,2
hungary,2025Q4,,,2
hungary,2026Q1,,,2
hungary,2026Q2,,,2
hungary,2026Q3,,,2
india,2007Q2,,,1
india,2007Q3,,,1
india,2007Q4,,,2
india,2008Q1,,,2
india,2008Q2,,,2
india,2008Q3,,,2
india,2008Q4,1.0,4877.62562326995,3
india,2009Q1,1.0,4796.3668306840245,3
india,2009Q2,0.9127972909173722,4400.475947029148,6
india,2009Q3,0.913974655122257,4302.592018817987,6
