q,Ryr,spread_raw,iRyr,FCI,iRyr_noCDIFF,FCI_noCDIFF,country,cdiff_contrib,EMBI_bps,GaR,D
2021Q3,2.9031846153846153,1.5799076923076925,0.5661657737140318,0.23473610494260505,0.13233154742806352,0.09034333323623811,china,0.43383422628596824,197.78125,0.0346086697119153,-3.46086697119153
2021Q4,2.9065333333333334,1.3721999999999999,0.7795836024870881,0.34996048894953485,0.5591672049741764,0.7318569372990261,china,0.22041639751291175,194.3548387096774,0.0401695244465417,-4.016952444654169
2022Q1,2.7921016949152544,0.8300508474576271,0.6415200936201813,0.290359155478809,0.28304018724036245,0.8772485109940453,china,0.3584799063798188,199.3548387096774,0.0336172496860396,-3.3617249686039603
2022Q2,2.81571186440678,-0.12898305084745762,0.4650661003516685,0.15063340175775844,0.2667572657291714,0.38286808224475044,china,0.1983088346224971,197.8709677419355,-0.0065920580693259,0.65920580693259
2022Q3,2.7209076923076925,-0.37698461538461536,0.2066266888299678,0.3282345345392038,0.16284979787367093,0.41812118094432404,china,0.04377689095629686,192.140625,7.977756863004198e-05,-0.007977756863004198
2022Q4,2.8099672131147537,-1.016344262295082,0.23225558498036294,0.33917828596606947,0.4237804266001933,0.6510070148415046,china,-0.19152484161983038,185.62295081967213,0.0225242654391268,-2.25242654391268
2023Q1,2.902816666666667,-0.8510333333333334,0.13804806808949183,0.4940919493049504,0.1778553417429319,0.524869689673159,china,-0.039807273653440084,163.30645161290323,0.0316880075156973,-3.16880075156973
2023Q2,2.7527377049180326,-0.9587704918032787,0.08187158358416165,0.5554513931430598,0.1637431671683233,0.6296053110778088,china,-0.08187158358416165,170.76190476190476,0.0508240428760049,-5.0824042876004905
2023Q3,2.654453125,-1.477625,0.17460897665219716,0.4086663952845109,0.2706549151954586,0.5118689571809596,china,-0.09604593854326143,164.71428571428572,0.0375260210548507,-3.75260210548507
2023Q4,2.679225806451613,-1.7241451612903225,0.15621190050595624,0.1796202074110232,0.15596971972229573,0.1767486252617132,china,0.0002421807836605061,147.5806451612903,0.0563118960985999,-5.63118960985999
2024Q1,2.4215999999999998,-1.7259,0.18071032850100663,0.35016029501532453,0.3150336274159806,0.43264800521644764,china,-0.134323298914974,138.78688524590163,0.0524199500884382,-5.24199500884382
2024Q2,2.2870338983050846,-2.156322033898305,0.12438458054649143,0.12109187665598263,0.24876916109298286,0.19484247698361612,china,-0.12438458054649143,125.24193548387096,0.0445281037308007,-4.452810373080069
2024Q3,2.1714375,-1.7965625,0.14387063864649116,0.2543194288058195,0.27981711888087285,0.3766352857805403,china,-0.1359464802343817,115.59375,0.0422875952053599,-4.22875952053599
2024Q4,2.0019473684210527,-2.3101228070175437,0.14217929469166832,0.09372290987496493,0.2781530725561988,0.18466277840641088,china,-0.1359737778645305,88.08064516129032,0.0496808906368728,-4.96808906368728
2025Q1,1.7396,-2.7026363636363637,0.2383718456660282,0.44732810427233494,0.3249529692015719,0.4662164952753281,china,-0.0865811235355437,81.54098360655738,0.028067409378026,-2.8067409378026
2025Q2,1.668135593220339,-2.6996440677966103,0.08462359419547974,0.3042955065415703,0.15230176291567946,0.34049118424068237,china,-0.06767816872019972,86.33870967741936,0.0442150198639744,-4.42150198639744
2025Q3,1.7569545454545454,-2.499530303030303,0.1869494971041987,0.2894223972285125,0.20459748521594218,0.28866183699046294,china,-0.01764798811174348,70.921875,0.044271515103346,-4.427151510334601
2025Q4,1.8153333333333335,-2.27335,0.1963689784999883,0.309103535190625,0.2952500132898733,0.405878468885266,china,-0.09888103478988503,51.435483870967744,0.046421671256117,-4.6421671256117
2026Q1,1.826125,-2.3806249999999998,0.23108103017073975,0.6955050405605143,0.299324084344574,0.7830320950062623,china,-0.06824305417383428,61.50819672131148,0.0006850237763337,-0.06850237763337
