country,quarter,CTOT_shock,CTOT_shock_dlog
poland,1986Q3,0.672825308198763,-0.011077007469846856
poland,1986Q4,0.6813839269120182,0.00855861871325525
poland,1987Q1,0.6962574958750383,0.014873568963020056
poland,1987Q2,0.7065620238120423,0.010304527937003982
poland,1987Q3,0.7143205078129882,0.00775848400094592
poland,1987Q4,0.7269425158568703,0.012622008043882138
poland,1988Q1,0.7331573981936284,0.006214882336758043
poland,1988Q2,0.749954682743343,0.01679728454971463
poland,1988Q3,0.7461763881396339,-0.0037782946037090426
poland,1988Q4,0.7451402845053002,-0.0010361036343337071
poland,1989Q1,0.7545004408123078,0.009360156307007594
poland,1989Q2,0.755445026533528,0.000944585721220137
poland,1989Q3,0.7452710384804778,-0.010173988053050143
poland,1989Q4,0.7469383198343198,0.0016672813538419762
poland,1990Q1,0.7442186099477637,-0.002719709886556121
poland,1990Q2,0.7368242136860657,-0.007394396261698022
poland,1990Q3,0.7578121252676723,0.020987911581606622
poland,1990Q4,0.7625688467675702,0.00475672149989792
poland,1991Q1,0.7430632856515886,-0.019505561115981562
poland,1991Q2,0.7338602849411027,-0.009203000710485965
poland,1991Q3,0.7344153232594371,0.0005550383183344776
poland,1991Q4,0.7358211021856046,0.0014057789261674447
poland,1992Q1,0.7314512431518978,-0.004369859033706791
poland,1992Q2,0.7366549163690636,0.00520367321716575
poland,1992Q3,0.7380983468506956,0.0014434304816320909
poland,1992Q4,0.7290945966902944,-0.009003750160401225
poland,1993Q1,0.7286547126121588,-0.0004398840781356661
poland,1993Q2,0.7275410538879157,-0.0011136587242430718
poland,1993Q3,0.7255348141151403,-0.0020062397727753645
poland,1993Q4,0.7223232575813338,-0.003211556533806559
poland,1994Q1,0.7280048713826068,0.005681613801273078
poland,1994Q2,0.7327681448835435,0.004763273500936638
poland,1994Q3,0.7397606760823485,0.006992531198805052
poland,1994Q4,0.7477767511402229,0.008016075057874383
poland,1995Q1,0.7536715193921386,0.005894768251915705
poland,1995Q2,0.7544753260229844,0.0008038066308457825
poland,1995Q3,0.7560136673012388,0.0015383412782543626
poland,1995Q4,0.7596409245030631,0.00362725720182433
poland,1996Q1,0.7660703106558076,0.006429386152744465
poland,1996Q2,0.7691038889933676,0.0030335783375600167
poland,1996Q3,0.7620910006693397,-0.0070128883240279105
poland,1996Q4,0.7623396794098278,0.00024867874048817296
poland,1997Q1,0.7654659010304385,0.003126221620610714
poland,1997Q2,0.7553651945641093,-0.010100706466329212
poland,1997Q3,0.7505414609279174,-0.004823733636191929
poland,1997Q4,0.7461084277193561,-0.0044330332085612545
poland,1998Q1,0.7272808425979773,-0.01882758512137883
poland,1998Q2,0.7216781308120124,-0.005602711785964942
poland,1998Q3,0.7096235308544399,-0.01205459995757252
