date,country,GaR,prob_neg,ES,ER,mean,std,iqr_05_95,skew,kurt,GaR_st,mean_st,std_st,scale_st,alpha_st,nu_st,skew_st,sse_st,n_train
01/06/2012,TURKEY,0.06801221424641452,0.0,0.06435586513733275,0.11053327776347477,0.08491299746279488,0.012276881709276127,0.03884804640540343,0.04129640785375917,1.0718989774472452,0.06628128480090287,0.08581594543867153,0.01187570119862326,0.01187600736908211,-0.00902305889273714,1931973495623.5574,-0.009022691606324401,1.0669592262331113e-05,430
01/06/2012,CHINA,0.06113754768803582,0.0,0.05693286541487638,0.11236485174645652,0.08308295028945069,0.01731926039960046,0.04948872966021528,-0.012866670963132258,0.9478805634747842,0.05892292766342857,0.08420566268491957,0.015370297553779593,0.015370695843801352,-0.009023006462632044,884541793.5874757,-0.009022639182621557,1.5267980805697714e-05,430
01/06/2012,SOUTHAFRICA,0.009094977857837725,0.0,0.005024784347928426,0.05461048807558122,0.02782191565804825,0.014010490497539886,0.042736403520419436,0.024314679199316583,1.0232746093197689,0.007222287878527889,0.028831880473532776,0.013137165275611729,0.013152597056817867,-0.06168400108855766,29401.967400369937,-0.06156698369285348,1.1454213932373043e-05,430
01/06/2012,PHILIPPINES,0.032053122520342925,0.0,0.02965261781601482,0.0812795988636711,0.053732475530059345,0.011304783537786047,0.038419699588137735,-0.08864410264117861,1.4073755681369544,0.03205064701036765,0.0531441135736498,0.011812209096342178,0.01582747787843933,-1.9121129438883842,24.320629031363328,-0.8861328805276821,1.142996412565928e-10,430
01/09/2012,BRAZIL,0.01395052272897511,0.0,0.009735406352375237,0.06124959428553991,0.033569449830928605,0.014104233743388454,0.042029904966333326,-0.022057026105010896,1.0661252961642436,0.012638246783084462,0.03396722909332059,0.012966668868914615,0.0129677204532456,0.015962875957606995,4805765086.015113,0.01596084256878099,5.3562361771405345e-06,445
01/09/2012,CHILE,0.04443321517996593,0.0,0.04060583918597973,0.08831827864649237,0.06224923328418338,0.011994000840062346,0.03776862291070712,-0.005616278596755991,1.1505693560292982,0.0434649445009657,0.06247036993625853,0.011554121327223126,0.011560058134121523,0.04019468453971531,5631894031.305881,0.04016225430973771,3.073496053310729e-06,445
01/09/2012,COLOMBIA,0.015619952063940876,0.0,0.011795278185456714,0.0602556936786644,0.03325415323933581,0.015465850523775587,0.041496867032686444,0.043792712093192916,0.8846533464211439,0.012977989903534704,0.03440130989875983,0.013023997424554483,0.01302903826733991,-0.0348824608142619,38140032.338467985,-0.03486125791559898,2.1805848864574585e-05,445
01/09/2012,MEXICO,0.010126763253913398,0.0,0.00632868260631182,0.05273765008525331,0.02709121430560654,0.012499712135695814,0.03746430051702086,0.03382916236176886,1.060062340113567,0.008636641533929073,0.027631633208919964,0.011547730460276929,0.011552198272191151,-0.03488217862388661,6133967.283773165,-0.03486097623948524,6.9838226575711e-06,445
01/09/2012,PERU,0.054658143367412745,0.0,0.05085135314943572,0.09875030395921242,0.07266936288717617,0.011529673548087252,0.037442994912184516,-0.022707022024021493,1.2070420352091578,0.05396883797054787,0.07272379328499314,0.01140252032467314,0.011402824243338579,-0.009023058893372075,46537399950277.52,-0.009022691606959258,1.729461396654732e-06,445
01/09/2012,BULGARIA,-0.003440512369264341,0.16231903363067673,-0.006364575848121054,0.037402140523422174,0.011934289651963075,0.01328518355701338,0.03672000248609538,0.058021399221352105,0.9329080107496694,-0.005943219568645821,0.012917973479361942,0.011467101403031633,0.011467406937592609,-0.009023058893848919,19392983238099.62,-0.009022691607436045,1.9510506284456258e-05,445
01/09/2012,HUNGARY,-0.01691498768813037,0.4663430562223869,-0.02049342418339916,0.030896467525569616,0.0022384489046832225,0.016484689207637026,0.04449128381707755,0.019569440987418824,0.903627897958297,-0.019514396765886913,0.003431734725158256,0.013949790872317014,0.013950151931884164,-0.009022998249277728,32112195.13577456,-0.009022630970270172,2.1242219597259828e-05,445
01/09/2012,INDIA,0.053268365636910925,0.0,0.04906519147578659,0.1001555980668232,0.07254845600621083,0.014616853602378027,0.042259901684195106,-0.003910354828298363,1.014537544431368,0.0516038388566376,0.07315262687202562,0.013100294760471346,0.013100634210686732,-0.009023053785714505,381226611.7737078,-0.009022686499925391,8.644964411283999e-06,445
01/09/2012,INDONESIA,0.04556658991167356,0.0,0.04206515219316816,0.08923479471132388,0.06322855609371025,0.011312160041273793,0.03681169556053157,-0.027693835214699244,1.2121257954485258,0.04483462224223043,0.06326905743391469,0.011206974046120243,0.011207148044999353,-0.00900305341393846,97341.51559003716,-0.009002688565002253,1.988496223752296e-06,445
01/09/2012,POLAND,-0.0039392284355839295,0.1410316130065688,-0.00766721653369851,0.04509003563002459,0.015755754756944417,0.017690163299578395,0.046580882520938616,0.030984206808548787,0.8582309007712613,-0.00688883618539588,0.017237185313432032,0.01466706573065653,0.01467274212667187,-0.0348824090941352,19496338.015991453,-0.034861206289727255,2.7578528326041162e-05,445
01/09/2012,SOUTHKOREA,0.021903518927623777,0.0,0.01756181391289655,0.06967847797775435,0.04136724840082845,0.016783100608507146,0.04498529464325711,0.025773561903363596,0.8936240045425468,0.019314309336576903,0.042545045397248994,0.014121306640360282,0.014121654764066389,-0.00902305889376635,70966413303406.69,-0.009022691607353485,2.1263215801323737e-05,445
01/09/2012,TURKEY,0.061991688258707905,0.0,0.05898764223550135,0.10345765636955502,0.07786434854061683,0.012821052276473234,0.036634797530293944,0.04258000010882335,0.9847627913896917,0.05991745685664725,0.07863343264307811,0.011378125318532545,0.011378412587934124,-0.009021774838391713,1516602.4554254743,-0.009021407708753773,1.3437233614076636e-05,445
01/09/2012,CHINA,0.05816793758156195,0.0,0.05362002041591945,0.11033175204783587,0.08012471298347788,0.017796312677723383,0.04866980070722494,-0.027542565211955132,0.9382255256652032,0.0559556965019668,0.08099867844526609,0.01522582797986709,0.015231784453871581,-0.03488251489350572,45730007708395.5,-0.03486131189628825,1.6035877867651078e-05,445
