country,quarter,GaR,ES,prob_neg,std,skew
mexico,2014Q3,-0.004995965043121768,-0.01445327461367106,0.07421359234585892,0.010906911829914611,0.08764624434014602
mexico,2014Q4,-0.018470390933879994,-0.029445930121298924,0.12041497814744487,0.01346790897557582,-0.04987355608442812
mexico,2015Q1,-0.00984625347176344,-0.01899671706372045,0.09698911493445694,0.012024877758261549,-0.020208239365955002
mexico,2015Q2,-0.01056672975873936,-0.020857277591568614,0.10081986136522134,0.011774468489762246,0.06886571137472636
mexico,2015Q3,-0.020646790633803556,-0.034055679849099976,0.11537879224470371,0.01366163618783855,-0.00801163385052551
mexico,2015Q4,-0.01256677263600696,-0.022832913211296747,0.11070802853914864,0.012115089224791799,0.05329381369749803
mexico,2016Q1,-0.007648894244991773,-0.015854467924729373,0.09994933127727339,0.011254865524151695,0.07771837572455637
mexico,2016Q2,-0.013347496814398608,-0.02250813696619257,0.11898431594792401,0.012453436106618617,-0.006705487726932736
mexico,2016Q3,-0.012244951876884198,-0.01999811500204028,0.16115070590917438,0.011913006755052219,0.06545063428755775
mexico,2016Q4,-0.006450741372000315,-0.014858961997243911,0.0879325851604727,0.01124411247103429,0.043080649758493274
mexico,2017Q1,-0.0016308341848451022,-0.00957738958202211,0.060062487324116426,0.010833235653924047,-0.02381218579878281
mexico,2017Q2,-0.006732426812217938,-0.013685945969446342,0.10213024253368609,0.011218756240685602,0.043900642787273035
mexico,2017Q3,0.0013405982183458467,-0.004714981160841222,0.044465441973424294,0.009660740950606716,0.15851483306736264
mexico,2017Q4,-0.0029511315512377317,-0.009772933203906152,0.07905471424536914,0.01045735876773688,0.10470338728197669
mexico,2018Q1,-0.019792699188064422,-0.030574507300151595,0.17663667237837533,0.012971434963639472,0.08513706945457233
mexico,2018Q2,-0.009309235751218066,-0.018783257241845992,0.09431398812600739,0.01184215760429533,0.006561750853414056
mexico,2018Q3,0.0025027608283174074,-0.005107533961797813,0.041778370952304744,0.009814039883101066,0.08888960066562773
mexico,2018Q4,-0.03772667425188961,-0.051132728543724915,0.23810298897297852,0.01614925648834373,-0.023859828842430604
mexico,2019Q1,-0.010057183081400849,-0.018035839972336654,0.1331235641164616,0.01154621768900448,0.08377792519498674
mexico,2019Q2,-0.02210172953636071,-0.03030123015097094,0.40433269765574914,0.013133993674596202,0.09419334175146687
mexico,2019Q3,-0.020436485727092193,-0.029219657945744038,0.30265849767906783,0.012857309351542523,0.11039491155552172
mexico,2019Q4,-0.021072449327801206,-0.02860569752295994,0.46554504568782046,0.012907966396117208,0.10692706988476879
